country,PRT,PRT
subject,BSCURT,BSOITE
measure,BLSA,BLSA
unit,,
powercode,Units,Units
reference_period,,
time,,
1977-Q1,76.13776,
1977-Q2,75.94571,
1977-Q3,77.31524,
1977-Q4,78.6052,
1978-Q1,78.12322,
1978-Q2,77.95684,
1978-Q3,78.32914,
1978-Q4,77.59789,
1979-Q1,78.09375,
1979-Q2,78.96753,
1979-Q3,78.36662,
1979-Q4,78.59528,
1980-Q1,79.02774,
1980-Q2,79.99141,
1980-Q3,78.43688,
1980-Q4,79.54899,
1981-Q1,77.99619,
1981-Q2,76.97987,
1981-Q3,77.5451,
1981-Q4,77.46277,
1982-Q1,77.9994,
1982-Q2,76.95941,
1982-Q3,76.64401,
1982-Q4,76.35103,
1983-Q1,77.08272,
1983-Q2,75.87374,
1983-Q3,75.73973,
1983-Q4,75.24866,
1984-Q1,74.20252,
1984-Q2,74.77296,
1984-Q3,73.80373,
1984-Q4,74.14461,
1985-Q1,74.35768,
1985-Q2,74.67701,
1985-Q3,74.84845,
1985-Q4,75.0209,
1986-Q1,75.49955,
1986-Q2,76.68485,
1986-Q3,76.80582,
1986-Q4,76.90774,
1987-Q1,82.3,30.0
1987-Q2,82.1,37.3
1987-Q3,82.0,26.7
1987-Q4,82.2,25.1
1988-Q1,82.7,14.7
1988-Q2,82.6,20.4
1988-Q3,82.3,15.3
1988-Q4,81.0,18.4
1989-Q1,81.5,18.9
1989-Q2,83.4,20.7
1989-Q3,82.5,26.0
1989-Q4,81.7,22.0
1990-Q1,81.1,18.7
1990-Q2,80.9,13.7
1990-Q3,82.6,12.7
1990-Q4,80.8,11.7
1991-Q1,82.3,1.7
1991-Q2,79.8,-1.3
1991-Q3,78.1,1.7
1991-Q4,79.8,-0.3
1992-Q1,79.0,2.7
1992-Q2,78.8,-7.3
1992-Q3,79.0,-10.3
1992-Q4,78.2,-17.3
1993-Q1,76.8,-18.3
1993-Q2,76.8,-21.3
1993-Q3,75.0,-14.3
1993-Q4,75.0,3.7
1994-Q1,78.1,12.7
1994-Q2,80.0,18.7
1994-Q3,81.4,18.6
1994-Q4,82.9,28.6
1995-Q1,83.1,15.6
1995-Q2,83.1,13.6
1995-Q3,83.2,15.6
1995-Q4,82.8,9.6
1996-Q1,83.8,-11.4
1996-Q2,81.7,-7.4
1996-Q3,83.1,1.6
1996-Q4,81.4,-0.4
1997-Q1,85.2,5.6
1997-Q2,84.7,12.6
1997-Q3,82.8,17.6
1997-Q4,85.1,14.6
1998-Q1,84.3,10.6
1998-Q2,87.0,18.6
1998-Q3,84.0,9.6
1998-Q4,84.5,7.6
1999-Q1,85.3,-0.4
1999-Q2,84.2,-3.4
1999-Q3,83.5,5.6
1999-Q4,84.1,9.6
2000-Q1,85.7,8.6
2000-Q2,84.4,16.6
2000-Q3,85.1,11.6
2000-Q4,84.0,8.6
2001-Q1,87.1,4.6
2001-Q2,85.8,4.6
2001-Q3,85.4,-7.4
2001-Q4,82.4,-4.4
2002-Q1,82.2,-6.4
2002-Q2,83.5,-8.4
2002-Q3,82.7,-9.4
2002-Q4,84.4,-17.4
2003-Q1,80.4,-28.8
2003-Q2,80.5,-24.8
2003-Q3,79.1,-13.8
2003-Q4,87.7,-14.8
2004-Q1,83.0,-9.8
2004-Q2,81.5,-12.8
2004-Q3,83.5,8.2
2004-Q4,83.9,0.2
2005-Q1,84.0,-6.8
2005-Q2,81.0,-17.8
2005-Q3,82.0,-13.8
2005-Q4,84.2,-4.8
2006-Q1,81.2,-13.8
2006-Q2,79.5,-12.8
2006-Q3,81.5,-5.8
2006-Q4,82.1,-2.8
2007-Q1,82.6,-0.8
2007-Q2,83.3,3.2
2007-Q3,86.5,1.2
2007-Q4,84.8,2.2
2008-Q1,80.2,-14.8
2008-Q2,84.1,2.2
2008-Q3,82.6,-22.8
2008-Q4,82.7,-36.8
2009-Q1,78.2,-54.8
2009-Q2,72.0,-57.8
2009-Q3,75.2,-16.0
2009-Q4,76.9,-6.5
2010-Q1,77.2,-29.0
2010-Q2,78.0,-19.8
2010-Q3,78.5,-12.5
2010-Q4,78.4,-22.0
2011-Q1,75.3,-6.4
2011-Q2,78.2,-19.9
2011-Q3,77.4,-8.4
2011-Q4,77.3,-31.5
2012-Q1,76.6,-26.1
2012-Q2,76.4,-35.2
2012-Q3,77.3,-32.8
2012-Q4,76.2,-26.0
2013-Q1,75.5,-27.0
2013-Q2,77.0,-20.2
2013-Q3,76.5,-23.6
2013-Q4,76.3,-21.3
2014-Q1,78.8,-11.2
2014-Q2,77.7,-14.0
2014-Q3,78.6,0.6
2014-Q4,78.2,-1.9
2015-Q1,81.0,-5.8
2015-Q2,80.3,0.0
2015-Q3,80.1,3.7
2015-Q4,79.8,-0.9
2016-Q1,79.9,-2.4
2016-Q2,80.9,-1.1
2016-Q3,79.6,2.8
2016-Q4,79.8,0.0
2017-Q1,80.4,-0.1
2017-Q2,79.3,8.1
2017-Q3,81.0,8.3
2017-Q4,81.3,6.5
2018-Q1,82.0,10.4
2018-Q2,81.4,2.9
2018-Q3,81.9,3.7
2018-Q4,80.7,-1.6
2019-Q1,77.6,-4.8
2019-Q2,79.5,-6.9
2019-Q3,80.8,-7.5
2019-Q4,77.2,-10.3
2020-Q1,80.7,-3.8
2020-Q2,70.6,-46.1
2020-Q3,72.7,-48.6
2020-Q4,78.7,-25.0
2021-Q1,79.5,-27.1
2021-Q2,79.5,-4.2
2021-Q3,78.9,1.7
2021-Q4,81.4,-1.5
2022-Q1,82.9,-1.1
2022-Q2,83.2,-5.1
