country,DNK,DNK,DNK
1992-Q1,79.4,-6.0,1.3
1992-Q2,80.2,-3.0,11.5
1992-Q3,79.9,-8.433333,-1.3
1992-Q4,79.2,-12.36667,-11.9
1993-Q1,77.8,-19.9,-12.6
1993-Q2,76.5,-19.9,-17.5
1993-Q3,78.3,-4.633333,-2.3
1993-Q4,78.6,-4.266667,13.0
1994-Q1,80.2,3.066667,20.5
1994-Q2,81.3,9.066667,24.5
1994-Q3,82.5,6.3,38.8
1994-Q4,82.9,7.9,30.0
1995-Q1,83.5,3.033333,30.6
1995-Q2,83.6,3.066667,16.4
1995-Q3,82.8,9.266666,0.8
1995-Q4,82.1,1.966667,6.9
1996-Q1,82.0,-7.066667,-4.3
1996-Q2,81.3,-7.966667,-10.7
1996-Q3,81.3,-9.666667,4.8
1996-Q4,82.2,1.2,15.9
1997-Q1,82.5,1.7,14.8
1997-Q2,82.5,6.933333,3.2
1997-Q3,84.2,8.333333,19.8
1997-Q4,84.5,4.433333,21.9
1998-Q1,85.5,10.5,29.0
1998-Q2,84.3,6.9,21.9
1998-Q3,86.1,-7.7,2.9
1998-Q4,85.3,-9.333333,-1.0
1999-Q1,82.8,-15.63333,-20.8
1999-Q2,82.4,-13.0,-17.3
1999-Q3,81.4,-6.8,-1.1
1999-Q4,81.5,-3.133333,4.0
2000-Q1,81.4,-2.866667,18.3
2000-Q2,82.6,11.1,22.4
2000-Q3,82.8,6.1,27.9
2000-Q4,83.6,9.066667,27.1
2001-Q1,84.0,-1.166667,17.4
2001-Q2,82.3,-8.7,3.1
2001-Q3,82.0,-11.96667,0.0
2001-Q4,82.2,-8.566667,-10.8
2002-Q1,81.0,-7.533333,-14.4
2002-Q2,81.3,1.466667,8.9
2002-Q3,80.9,1.166667,2.0
2002-Q4,81.8,-5.966667,-1.7
2003-Q1,81.3,-5.633333,-4.3
2003-Q2,80.3,-9.566667,-13.4
2003-Q3,80.1,-3.6,-12.9
2003-Q4,80.2,-4.7,6.3
2004-Q1,81.8,-1.1,10.8
2004-Q2,81.7,3.666667,18.4
2004-Q3,82.7,1.033333,17.2
2004-Q4,82.8,-7.833333,8.4
2005-Q1,81.8,-0.9666666,1.7
2005-Q2,83.1,-5.833333,-3.8
2005-Q3,84.2,-1.766667,17.6
2005-Q4,84.1,0.6,18.1
2006-Q1,84.6,5.933333,19.2
2006-Q2,85.5,1.966667,25.4
2006-Q3,84.2,2.666667,22.8
2006-Q4,87.9,8.7,25.3
2007-Q1,87.2,9.166667,22.3
2007-Q2,88.9,8.0,33.3
2007-Q3,88.5,8.633333,5.5
2007-Q4,87.2,4.666667,8.2
2008-Q1,86.8,-0.1666667,-5.1
2008-Q2,84.4,-6.5,-12.8
2008-Q3,83.0,-14.06667,-9.6
2008-Q4,81.9,-23.46667,-24.6
2009-Q1,79.2,-35.33333,-53.9
2009-Q2,75.5,-36.53333,-58.0
2009-Q3,72.7,-20.13333,-25.3
2009-Q4,71.6,-18.26667,-13.3
2010-Q1,73.1,-2.233333,5.4
2010-Q2,75.2,-1.166667,9.1
2010-Q3,77.6,4.2,22.3
2010-Q4,78.0,4.3,16.1
2011-Q1,76.6,4.9,16.8
2011-Q2,77.9,6.166667,20.6
2011-Q3,80.2,4.033333,16.6
2011-Q4,77.4,-1.666667,5.5
2012-Q1,78.7,3.733333,8.4
2012-Q2,79.8,-2.4,14.2
2012-Q3,78.8,-8.166667,3.3
2012-Q4,78.7,-11.1,-1.4
2013-Q1,77.7,-5.666667,-3.1
2013-Q2,77.6,-3.433333,3.7
2013-Q3,77.4,2.466667,3.5
2013-Q4,79.9,10.83333,14.2
2014-Q1,80.6,3.933333,5.1
2014-Q2,79.2,2.6,16.9
2014-Q3,78.6,-0.4,-9.7
2014-Q4,81.0,1.933333,10.7
2015-Q1,80.2,1.033333,-1.9
2015-Q2,81.1,4.033333,4.5
2015-Q3,80.2,3.933333,8.3
2015-Q4,81.0,2.4,16.9
2016-Q1,79.7,2.633333,10.7
2016-Q2,80.1,-1.466667,10.6
2016-Q3,81.0,1.2,16.3
2016-Q4,78.7,0.6666667,1.5
2017-Q1,79.3,13.16667,20.7
2017-Q2,80.4,14.43333,18.4
2017-Q3,80.5,17.93333,9.5
2017-Q4,78.8,14.26667,14.3
2018-Q1,81.0,7.933333,20.8
2018-Q2,81.4,12.33333,11.3
2018-Q3,80.6,4.8,15.1
2018-Q4,80.3,8.333333,10.1
2019-Q1,81.4,15.8,13.2
2019-Q2,81.7,5.866667,3.0
2019-Q3,81.3,6.066667,8.2
2019-Q4,79.6,6.733333,10.0
2020-Q1,80.1,4.666667,1.1
2020-Q2,76.2,-22.43333,-2.3
2020-Q3,76.6,-2.133333,-27.6
2020-Q4,79.2,6.866667,-0.9
2021-Q1,79.9,11.56667,8.4
2021-Q2,78.2,19.5,12.2
2021-Q3,84.4,15.93333,22.3
2021-Q4,84.9,27.93333,16.2
2022-Q1,85.0,25.56667,5.3
2022-Q2,85.8,7.466667,30.2
2022-Q3,82.7,-6.666667,15.3
2022-Q4,81.4,-10.26667,-1.8
2023-Q1,81.5,-11.16667,-13.0
2023-Q2,82.4,-3.5,0.8
2023-Q3,82.5,3.333333,-0.8
2023-Q4,82.0,-1.5,-5.4
2024-Q1,80.7,,1.5
