country,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL
1976-09,,,,,,,,,,,-22.0,5.0,-11.0,25.0,14.0,65.0,,,,,,,,-26.0,,
1976-10,,,,,,,,,,,-9.0,0.0,-17.0,29.0,14.0,70.0,,,,,,,,-26.0,,
1976-11,,,,,,,,,,,-6.0,5.0,-8.0,27.0,24.0,75.0,,,,,,,,-26.0,,
1976-12,,,,,,,,,,,-5.0,-1.0,-3.0,25.0,24.0,61.0,,,,,,,,-24.0,,
1977-01,,,,,,,,,,,-4.0,0.0,-8.0,31.0,15.0,68.0,,,,,,,,-17.0,,
1977-02,,,,,,,,,,,-3.0,3.0,-12.0,26.0,19.0,53.0,,,,,,,,-16.0,,
1977-03,,,,,,,,,,,-6.0,2.0,-14.0,30.0,22.0,58.0,,,,,,,,-16.0,,
1977-04,,,,,,,,,,,-1.0,0.0,-12.0,27.0,24.0,57.0,,,,,,,,-16.0,,
1977-05,,,,,,,,,,,-3.0,11.0,-13.0,27.0,13.0,53.0,,,,,,,,-17.0,,
1977-06,,,,,,,,,,,-1.0,5.0,-14.0,28.0,14.0,46.0,,,,,,,,-16.0,,
1977-07,,,,,,,,,,,2.0,1.0,-7.0,24.0,11.0,43.0,,,,,,,,-8.0,,
1977-08,,,,,,,,,,,3.0,1.0,-5.0,27.0,26.0,44.0,,,,,,,,-7.0,,
1977-09,,,,,,,,,,,4.0,4.0,-6.0,26.0,16.0,42.0,,,,,,,,-5.0,,
1977-10,,,,,,,,,,,6.0,0.0,-1.0,24.0,14.0,41.0,,,,,,,,2.0,,
1977-11,,,,,,,,,,,3.0,-3.0,-2.0,24.0,8.0,36.0,,,,,,,,4.0,,
1977-12,,,,,,,,,,,9.0,1.0,-9.0,24.0,10.0,37.0,,,,,,,,6.0,,
1978-01,,,,,,,,,,,10.0,1.0,-6.0,31.0,21.0,35.0,,,,,,,,13.0,,
1978-02,,,,,,,,,,,10.0,1.0,3.0,33.0,19.0,40.0,,,,,,,,14.0,,
1978-03,,,,,,,,,,,8.0,4.0,-3.0,36.0,18.0,35.0,,,,,,,,14.0,,
1978-04,,,,,,,,,,,12.0,-7.0,4.0,31.0,30.0,36.0,,,,,,,,11.0,,
1978-05,,,,,,,,,,,9.0,1.0,0.0,29.0,22.0,34.0,,,,,,,,10.0,,
1978-06,,,,,,,,,,,6.0,3.0,11.0,28.0,28.0,42.0,,,,,,,,10.0,,
1978-07,,,,,,,,,,,8.0,-2.0,11.0,31.0,25.0,47.0,,,,,,,,6.0,,
1978-08,,,,,,,,,,,9.0,-8.0,-1.0,29.0,1.0,26.0,,,,,,,,6.0,,
1978-09,,,,,,,,,,,0.0,1.0,3.0,5.0,7.0,42.0,,,,,,,,6.0,,
1978-10,,,,,,,,,,,1.0,0.0,5.0,23.0,12.0,40.0,,,,,,,,2.0,,
1978-11,,,,,,,,,,,5.0,-1.0,4.0,30.0,5.0,49.0,,,,,,,,2.0,,
1978-12,,,,,,,,,,,3.0,-10.0,-2.0,27.0,20.0,53.0,,,,,,,,1.0,,
1979-01,,,,,,,,,,,12.0,-7.0,-10.0,24.0,-6.0,55.0,,,,,,,,-5.0,,
1979-02,,,,,,,,,,,6.0,-2.0,-3.0,19.0,-1.0,57.0,,,,,,,,-6.0,,
1979-03,,,,,,,,,,,,4.0,6.0,36.0,18.0,64.0,,,,,,,,-6.0,,
1979-04,,,,,,,,,,,,-7.0,4.0,31.0,30.0,61.0,,,,,,,,-8.0,,
1979-05,,,,,,,,,,,,1.0,6.0,29.0,22.0,66.0,,,,,,,,-8.0,,
1979-06,,,,,,,,,,,,3.0,8.0,28.0,28.0,63.0,,,,,,,,-8.0,,
1979-07,,,,,,,,,,,,-2.0,4.0,31.0,25.0,67.0,,,,,,,,-12.0,,
1979-08,,,,,,,,,,,-1.0,-6.0,6.0,28.0,20.0,65.0,,,,,,,,-12.0,,
1979-09,,,,,,,,,,,8.0,-10.0,2.0,24.0,10.0,60.0,,,,,,,,-12.0,,
1979-10,,,,,,,,,,,-1.0,-4.0,-14.0,12.0,9.0,65.0,,,,,,,,-15.0,,
1979-11,,,,,,,,,,,3.0,-10.0,-10.0,22.0,17.0,60.0,,,,,,,,-16.0,,
1979-12,,,,,,,,,,,-2.0,8.0,-1.0,8.0,5.0,63.0,,,,,,,,-16.0,,
1980-01,,,,,,,,,,,-11.0,11.0,-9.0,9.0,4.0,54.0,,,,,,,,-17.0,,
1980-02,,,,,,,,,,,-17.0,14.0,-17.0,3.0,2.0,55.0,,,,,,,,-18.0,,
1980-03,,,,,,,,,,,-5.0,9.0,-23.0,-11.0,1.0,45.0,,,,,,,,-18.0,,
1980-04,,,,,,,,,,,-11.0,16.0,-34.0,1.0,-17.0,34.0,,,,,,,,-21.0,,
1980-05,,,,,,,,,,,-13.0,18.0,-37.0,-12.0,-7.0,46.0,,,,,,,,-22.0,,
1980-06,,,,,,,,,,,-24.0,16.0,-45.0,-25.0,-15.0,46.0,,,,,,,,-22.0,,
1980-07,,,,,,,,,,,-28.0,22.0,-53.0,-21.0,-27.0,34.0,,,,,,,,-24.0,,
1980-08,,,,,,,,,,,-31.0,32.0,-49.0,-34.0,-17.0,39.0,,,,,,,,-25.0,,
1980-09,,,,,,,,,,,-30.0,32.0,-51.0,-19.0,-15.0,36.0,,,,,,,,-25.0,,
1980-10,,,,,,,,,,,-26.0,23.0,-51.0,-19.0,-26.0,32.0,,,,,,,,-28.0,,
1980-11,,,,,,,,,,,-29.0,28.0,-48.0,-20.0,-26.0,33.0,,,,,,,,-29.0,,
1980-12,,,,,,,,,,,-29.0,24.0,-42.0,-19.0,-16.0,32.0,,,,,,,,-29.0,,
1981-01,,,,,,,,,,,-34.0,21.0,-42.0,-21.0,-7.0,32.0,,,,,,,,-27.0,,
1981-02,,,,,,,,,,,-24.0,12.0,-32.0,-16.0,13.0,35.0,,,,,,,,-27.0,,
1981-03,,,,,,,,,,,-29.0,17.0,-25.0,10.0,-12.0,33.0,,,,,,,,-26.0,,
1981-04,,,,,,,,,,,-21.0,12.0,-48.0,-9.0,-8.0,37.0,,,,,,,,-22.0,,
1981-05,,,,,,,,,,,-25.0,9.0,-30.0,-6.0,2.0,49.0,,,,,,,,-21.0,,
1981-06,,,,,,,,,,,-23.0,5.0,-30.0,0.0,-8.0,32.0,,,,,,,,-22.0,,
1981-07,,,,,,,,,,,-19.0,6.0,-24.0,-12.0,7.0,40.0,,,,,,,,-27.0,,
1981-08,,,,,,,,,,,-17.0,4.0,-22.0,-4.0,-1.0,47.0,,,,,,,,-29.0,,
1981-09,,,,,,,,,,,-24.0,1.0,-24.0,-9.0,4.0,49.0,,,,,,,,-30.0,,
1981-10,,,,,,,,,,,-24.0,6.0,-16.0,-3.0,10.0,49.0,,,,,,,,-35.0,,
1981-11,,,,,,,,,,,-35.0,5.0,-22.0,-7.0,4.0,45.0,,,,,,,,-37.0,,
1981-12,,,,,,,,,,,-43.0,11.0,-29.0,6.0,-17.0,40.0,,,,,,,,-37.0,,
1982-01,,,,,,,,,,,-33.0,10.0,-27.0,-8.0,-4.0,47.0,,,,,,,,-32.0,,
1982-02,,,,,,,,,,,-35.0,6.0,-36.0,4.0,-13.0,43.0,,,,,,,,-31.0,,
1982-03,,,,,,,,,,,-29.0,5.0,-21.0,2.0,26.0,49.0,,,,,,,,-32.0,,
1982-04,,,,,,,,,,,-34.0,9.0,-18.0,3.0,0.0,47.0,,,,,,,,-31.0,,
1982-05,,,,,,,,,,,-34.0,6.0,-20.0,-5.0,-8.0,39.0,,,,,,,,-32.0,,
1982-06,,,,,,,,,,,-25.0,3.0,-28.0,-10.0,-1.0,38.0,,,,,,,,-32.0,,
1982-07,,,,,,,,,,,-31.0,9.0,-34.0,0.0,-15.0,37.0,,,,,,,,-33.0,,
1982-08,,,,,,,,,,,-33.0,13.0,-37.0,-5.0,-6.0,29.0,,,,,,,,-34.0,,
1982-09,,,,,,,,,,,-26.0,16.0,-41.0,-22.0,-10.0,26.0,,,,,,,,-34.0,,
1982-10,,,,,,,,,,,-38.0,16.0,-55.0,-5.0,-11.0,24.0,,,,,,,,-36.0,,
1982-11,,,,,,,,,,,-32.0,14.0,-35.0,17.0,-7.0,26.0,,,,,,,,-37.0,,
1982-12,,,,,,,,,,,-33.0,13.0,-59.0,-4.0,-2.0,20.0,,,,,,,,-38.0,,
1983-01,,,,,,,,,,,-24.0,10.0,-55.0,12.0,-6.0,37.0,,,,,,,,-37.0,,
1983-02,,,,,,,,,,,-33.0,12.0,-44.0,-6.0,0.0,20.0,,,,,,,,-37.0,,
1983-03,,,,,,,,,,,-37.0,16.0,-50.0,-7.0,-4.0,28.0,,,,,,,,-39.0,,
1983-04,,,,,,,,,,,-28.0,10.0,-45.0,-1.0,1.0,37.0,,,,,,,,-43.0,,
1983-05,,,,,,,,,,,-32.0,22.0,-53.0,5.0,-8.0,31.0,,,,,,,,-45.0,,
1983-06,,,,,,,,,,,-31.0,13.0,-44.0,12.0,-3.0,34.0,,,,,,,,-46.0,,
1983-07,,,,,,,,,,,-33.0,13.0,-43.0,5.0,5.0,39.0,,,,,,,,-41.0,,
1983-08,,,,,,,,,,,-26.0,6.0,-46.0,9.0,-1.0,36.0,,,,,,,,-41.0,,
1983-09,,,,,,,,,,,-23.0,11.0,-37.0,15.0,0.0,31.0,,,,,,,,-41.0,,
1983-10,,,,,,,,,,,-19.0,14.0,-38.0,9.0,23.0,31.0,,,,,,,,-37.0,,
1983-11,,,,,,,,,,,-22.0,10.0,-37.0,4.0,7.0,30.0,,,,,,,,-37.0,,
1983-12,,,,,,,,,,,-22.0,4.0,-25.0,5.0,11.0,29.0,,,,,,,,-37.0,,
1984-01,,,,,,,,,,,-25.0,-2.0,-24.0,21.0,15.0,26.0,,,,,,,,-36.0,,
1984-02,,,,,,,,,,,-32.0,5.0,-28.0,0.0,16.0,39.0,,,,,,,,-35.0,,
1984-03,,,,,,,,,,,-19.0,20.0,-40.0,10.0,15.0,31.0,,,,,,,,-35.0,,
1984-04,,,,,,,,,,,-28.0,11.0,-32.0,-6.0,0.0,23.0,,,,,,,,-33.0,,
1984-05,,,,,,,,,,,-21.0,9.0,-25.0,10.0,17.0,29.0,,,,,,,,-33.0,,
1984-06,,,,,,,,,,,-27.0,15.0,-24.0,4.0,19.0,29.0,,,,,,,,-33.0,,
1984-07,,,,,,,,,,,-23.0,4.0,-25.0,18.0,16.0,28.0,,,,,,,,-32.0,,
1984-08,,,,,,,,,,,-26.0,23.0,-38.0,4.0,10.0,25.0,,,,,,,,-32.0,,
1984-09,,,,,,,,,,,-25.0,16.0,-36.0,9.0,16.0,23.0,,,,,,,,-32.0,,
1984-10,,,,,,,,,,,-22.0,2.0,-12.0,15.0,19.0,25.0,,,,,,,,-31.0,,
1984-11,,,,,,,,,,,-7.0,0.0,-19.0,16.0,7.0,23.0,,,,,,,,-31.0,,
1984-12,,,,,,,,,,,-9.0,5.0,-14.0,20.0,14.0,22.0,,,,,,,,-31.0,,
1985-01,-36.4,-34.8,7.3,,,,,,,7.1,1.1,5.8,-13.2,40.5,21.9,31.2,,,,,,,,-21.2,-20.8,43.3
1985-02,-36.8,-34.8,10.6,,,,,,,4.5,1.1,4.2,-16.4,34.2,26.7,32.0,,,,,,,,-20.3,-20.8,43.3
1985-03,-35.8,-34.8,10.4,,,,,,,6.2,1.1,5.0,-17.5,41.0,23.6,38.3,,,,,,,,-20.1,-20.8,43.3
1985-04,-32.6,-24.8,1.5,,,,,,,6.0,-6.9,8.9,-16.9,43.6,36.3,41.0,,,,,,,,-22.1,-24.5,45.5
1985-05,-32.7,-24.8,0.8,,,,,,,9.0,-6.9,4.8,-13.1,45.0,37.8,32.5,,,,,,,,-21.9,-24.5,45.5
1985-06,-32.7,-24.8,3.5,,,,,,,2.3,-6.9,14.6,-17.7,39.1,42.8,28.7,,,,,,,,-22.3,-24.5,45.5
1985-07,-39.4,-17.8,7.7,,,,,,,6.3,7.1,10.4,-12.3,41.7,32.5,39.7,,,,,,,,-18.0,-15.4,40.1
1985-08,-39.1,-17.8,9.8,,,,,,,12.4,7.1,6.1,-4.2,47.5,26.3,22.0,,,,,,,,-18.0,-15.4,40.1
1985-09,-39.2,-17.8,6.6,,,,,,,13.6,7.1,2.7,-10.0,53.6,31.0,23.0,,,,,,,,-17.4,-15.4,40.1
1985-10,-39.8,-26.8,24.5,,,,,,,13.6,9.1,-0.4,-14.4,54.8,35.4,10.9,,,,,,,,-13.1,-15.9,43.5
1985-11,-39.4,-26.8,25.3,,,,,,,13.5,9.1,10.6,-0.6,51.6,35.5,13.9,-16.3,,,,,,,-13.4,-15.9,43.5
1985-12,-40.4,-26.8,24.0,,,,,,,9.2,9.1,13.7,-5.1,46.5,41.8,21.4,-12.5,,,,,,,-13.6,-15.9,43.5
1986-01,-60.4,-45.8,21.3,,,,,,,12.5,-6.9,6.8,-2.2,46.5,32.8,21.2,-1.0,,,,,,,-16.3,-22.6,45.8
1986-02,-60.9,-45.8,24.6,,,,,,,12.1,-6.9,7.2,-5.4,49.1,46.7,25.0,-8.6,,,,,,,-15.5,-22.6,45.8
1986-03,-59.7,-45.8,24.5,,,,,,,7.8,-6.9,13.0,-16.5,53.0,34.5,13.4,-8.3,,,,,,,-15.2,-22.6,45.8
1986-04,-42.4,-23.8,26.5,,,,,,,6.6,0.1,10.9,-21.9,52.6,31.3,6.2,-23.4,,,,,,,-17.0,-11.1,23.9
1986-05,-42.5,-23.8,25.8,,,,,,,6.4,0.1,11.8,-16.1,47.0,27.9,9.5,-16.1,,,,,,,-16.8,-11.1,23.9
1986-06,-42.4,-23.8,28.5,,,,,,,-0.4,0.1,24.6,-19.7,43.1,27.9,4.7,-11.1,,,,,,,-17.1,-11.1,23.9
1986-07,-41.8,-25.8,12.7,,,,,,,1.3,4.1,20.4,-21.3,45.7,34.5,4.8,-15.1,,,,,,,-15.1,-13.7,23.2
1986-08,-41.3,-25.8,14.8,,,,,,,7.7,4.1,10.1,-12.2,45.5,45.3,6.9,-15.3,,,,,,,-14.7,-18.6,34.1
1986-09,-41.3,-25.8,11.5,,,,,,,-1.7,4.1,10.6,-28.0,33.6,31.0,18.9,-27.5,,,,,,,-17.2,-22.3,39.7
1986-10,-32.4,-27.8,5.5,,,,,,,4.3,4.1,10.5,-16.4,39.9,29.4,26.7,-19.4,,,,,,,-16.7,-21.4,40.0
1986-11,-31.8,-27.8,6.4,,,,,,,9.5,4.1,5.6,-13.6,47.7,36.5,22.8,-22.4,,,,,,,-19.5,-24.6,35.6
1986-12,-33.0,-27.8,5.0,,,,,,,13.9,4.1,8.7,-2.1,52.4,38.9,21.4,-21.5,,,,,,,-19.4,-24.0,39.2
1987-01,-30.2,-45.8,23.4,,,,,,,7.2,20.1,7.8,-24.2,53.5,38.8,17.3,-29.9,,,,,,,-18.2,-20.1,43.3
1987-02,-31.0,-45.8,26.6,,,,,,,13.8,20.1,6.2,-14.4,62.1,32.7,20.2,-26.5,,,,,,,-17.1,-14.9,34.4
1987-03,-29.2,-45.8,26.5,,,,,,,15.5,20.1,8.0,-2.5,57.0,49.5,24.5,-24.3,,,,,,,-14.9,-12.6,37.0
1987-04,-49.3,-1.8,8.5,,,,,,,15.0,11.1,8.9,1.1,52.7,39.3,22.2,6.6,,,,,,,-15.6,-21.9,34.3
1987-05,-49.4,-1.8,7.7,,,,,,,15.4,11.1,3.8,-1.1,51.0,51.9,24.5,0.9,,,,,,,-20.1,-26.3,36.2
1987-06,-49.2,-1.8,10.5,,,,,,,16.2,11.1,4.7,-0.7,54.0,40.9,25.5,4.0,,,,,,,-16.3,-25.2,34.9
1987-07,-39.0,-25.8,15.7,,,,,,,7.3,3.1,7.4,-8.3,37.6,35.5,21.9,-1.1,,,,,,,-17.4,-24.9,37.5
1987-08,-38.5,-25.8,17.8,,,,,,,5.1,3.1,10.1,-11.2,36.5,35.3,21.6,-6.3,,,,,,,-17.2,-21.3,35.6
1987-09,-38.4,-25.8,14.5,,,,,,,11.0,3.1,6.6,-6.0,45.6,27.9,28.0,-0.6,,,,,,,-16.3,-26.6,39.0
1987-10,-39.3,-19.8,-4.5,,,,,,,7.3,-1.9,5.5,-4.5,31.9,30.3,18.7,0.6,,,,,,,-15.0,-22.2,36.0
1987-11,-38.6,-19.8,-3.6,,,,,,,7.8,-1.9,4.6,-5.6,33.7,32.5,21.7,14.6,,,,,,,-17.4,-29.1,38.7
1987-12,-40.1,-19.8,-5.0,,,,,,,6.2,-1.9,9.7,-7.0,35.5,29.9,16.5,13.5,,,,,,,-15.0,-22.8,37.9
1988-01,-23.6,-13.8,3.4,,,,,,,9.2,2.1,0.8,-6.2,34.5,41.7,14.3,12.1,,,,,,,-11.6,-14.9,35.6
1988-02,-24.6,-13.8,6.7,,,,,,,8.5,2.1,3.2,-11.4,40.1,22.8,12.3,4.4,,,,,,,-11.4,-14.3,35.0
1988-03,-22.3,-13.8,6.5,,,,,,,6.5,2.1,6.0,-9.5,35.1,25.5,15.7,11.7,,,,,,,-11.4,-9.8,34.3
1988-04,-24.9,-22.8,22.5,,,,,,,14.0,7.1,4.9,-3.9,50.8,37.4,18.3,11.6,,,,,,,-6.0,1.9,25.1
1988-05,-25.0,-22.8,21.7,,,,,,,16.7,7.1,3.8,2.9,51.0,35.0,24.5,1.9,,,,,,,-6.9,-1.4,29.5
1988-06,-24.8,-22.8,24.5,,,,,,,15.8,7.1,2.7,2.3,48.0,43.0,23.4,8.1,,,,,,,-8.4,-3.6,32.4
1988-07,-2.3,20.2,26.7,,,,,,,17.2,9.1,3.5,6.6,48.5,44.5,29.0,5.9,,,,,,,-6.5,-4.8,34.3
1988-08,-1.6,20.2,28.8,,,,,,,16.7,9.1,5.1,5.9,49.4,42.3,21.4,19.7,,,,,,,-6.9,-4.1,34.1
1988-09,-1.6,20.2,25.5,,,,,,,21.6,9.1,9.6,14.9,59.5,38.8,23.1,13.4,,,,,,,-5.4,-5.0,30.2
1988-10,2.8,27.2,51.5,,,,,,,22.6,9.1,4.5,7.5,64.8,50.3,25.6,28.6,,,,,,,-7.0,-5.2,31.4
1988-11,3.6,27.2,52.3,,,,,,,16.5,9.1,4.6,6.5,47.6,43.5,29.7,1.6,,,,,,,-3.5,2.9,33.0
1988-12,1.3,27.2,51.0,,,,,,,15.9,9.1,4.8,3.0,49.4,34.0,28.5,15.5,,,,,,,-2.8,2.6,37.6
1989-01,6.5,15.2,47.4,,,,,,,18.5,19.1,3.7,8.8,50.4,35.7,36.2,3.1,,,,,,,-3.5,2.3,37.9
1989-02,4.9,15.2,50.7,,,,,,,19.9,19.1,2.2,11.6,50.2,37.7,31.4,9.3,,,,,,,-1.1,8.1,33.5
1989-03,7.9,15.2,50.6,,,,,,,27.2,19.1,-1.0,15.4,65.2,38.5,28.8,5.6,,,,,,,-2.8,5.8,29.3
1989-04,24.5,16.2,59.5,,,,,,,15.0,26.1,3.9,3.1,45.9,38.4,31.3,2.7,,,,,,,-1.7,4.4,37.0
1989-05,23.9,16.2,58.7,,,,,,,21.1,26.1,5.8,12.0,57.1,39.1,28.6,8.9,,,,,,,-5.5,-4.0,48.5
1989-06,23.9,16.2,61.5,,,,,,,26.8,26.1,-2.2,19.3,59.0,43.1,34.3,15.2,,,,,,,-3.0,2.8,44.0
1989-07,17.0,44.2,61.7,,,,,,,18.8,6.1,2.5,7.6,51.4,35.5,11.1,20.9,,,,,,,0.5,6.8,39.7
1989-08,17.6,44.2,63.8,,,,,,,21.7,6.1,6.1,11.9,59.3,43.3,31.1,21.7,,,,,,,3.1,13.9,40.7
1989-09,17.1,44.2,60.4,,,,,,,26.0,6.1,1.6,13.9,65.6,40.7,21.2,10.3,,,,,,,1.8,10.7,39.1
1989-10,16.2,34.2,53.5,,,,,,,25.0,20.1,-0.5,10.5,63.8,45.2,22.5,0.7,,,,,,,-0.2,6.8,45.0
1989-11,16.9,34.2,54.3,,,,,,,25.5,20.1,0.6,16.5,60.6,45.5,32.8,11.5,,,,,,,-0.7,6.9,45.6
1989-12,13.4,34.2,52.9,,,,,,,21.5,20.1,2.8,9.0,58.3,51.0,31.6,8.6,,,,,,,0.2,13.9,35.1
1990-01,15.8,6.2,68.4,,,,,,,18.5,16.1,9.7,3.8,61.4,40.6,18.2,-2.9,,,,,,,0.3,15.2,38.9
1990-02,13.2,6.2,71.8,,,,,,,17.2,16.1,0.1,1.5,50.2,47.6,27.4,-10.8,,,,,,,-2.5,9.9,30.5
1990-03,17.0,6.2,71.6,,,,,,,11.6,16.1,10.0,-6.6,51.3,39.4,15.8,-19.5,,,,,,,-0.2,10.1,30.4
1990-04,1.1,20.2,47.5,,,,,,,17.7,16.1,6.9,8.1,52.0,37.4,12.3,4.7,,,,,,,0.6,11.4,35.7
1990-05,0.1,20.2,46.7,,,,,,,13.8,16.1,0.8,-5.0,47.2,48.2,20.7,-31.1,,,,,,,-0.3,10.0,33.0
1990-06,-0.4,20.2,49.5,,,,,,,13.8,16.1,6.8,-3.7,52.0,46.2,5.3,-23.8,,,,,,,1.1,10.5,31.1
1990-07,1.3,25.2,22.6,,,,,,,15.8,7.1,7.5,-5.4,60.3,39.5,3.9,-14.1,,,,,,,-1.5,9.4,32.1
1990-08,1.9,25.2,24.8,,,,,,,9.0,7.1,6.1,-17.1,50.3,36.4,10.9,-29.2,,,,,,,-2.8,0.4,44.7
1990-09,1.1,25.2,21.4,,,,,,,12.0,7.1,7.6,-10.1,53.7,29.5,7.2,-10.7,,,,,,,-7.9,-13.8,54.9
1990-10,-23.6,-8.8,17.5,,,,,,,6.3,7.1,7.4,-11.5,37.9,29.2,18.3,-31.3,,,,,,,-8.3,-13.7,53.7
1990-11,-22.7,-8.8,18.3,,,,,,,7.5,7.1,8.5,-17.5,48.5,27.5,23.0,-29.5,,,,,,,-1.5,3.2,43.3
1990-12,-27.8,-8.8,16.9,,,,,,,6.2,7.1,8.8,-17.9,45.3,30.0,13.8,-35.3,,,,,,,-5.6,-1.5,42.6
1991-01,-34.1,-3.8,-14.6,,,,,,,3.8,4.1,11.7,-20.2,43.3,22.6,28.3,-32.0,,,,,,,-7.9,-9.4,47.7
1991-02,-37.8,-3.8,-11.2,,,,,,,-0.8,4.1,16.1,-25.5,39.1,26.6,12.6,-35.9,,,,,,,-8.1,-15.9,49.5
1991-03,-32.5,-3.8,-11.3,,,,,,,0.6,4.1,14.0,-20.6,36.4,36.4,8.8,-29.6,,,,,,,-8.4,-8.1,38.8
1991-04,-34.5,-21.8,10.5,,,,,,,5.1,-8.9,7.9,-19.0,42.0,23.4,5.2,-32.2,,,,,,,-4.1,0.7,34.2
1991-05,-35.9,-21.8,9.7,,,,,,,1.2,-8.9,17.8,-24.0,45.3,23.3,8.8,-28.2,,,,,,,-5.4,-2.0,39.4
1991-06,-36.5,-21.8,12.6,,,,,,,4.8,-8.9,9.8,-19.7,44.0,22.4,8.1,-37.7,,,,,,,-9.2,-8.8,39.0
1991-07,-32.1,-6.8,4.6,,,,,,,4.7,2.1,4.6,-20.4,39.2,24.5,7.6,-25.0,,,,,,,-11.1,-17.7,40.2
