country,IND,IND,IND,IND,IND,IND,IND,IND
subject,BSCI,BSCURT,BSEMFT,BSFGLV,BSOBLV,BSPRFT,BSPRTE,BSSPFT
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,
time,,,,,,,,
2000-Q1,,,-0.1,,,50.5,,18.6
2000-Q2,24.2151,0.9,-0.2,3.5,28.7453,47.4,30.7,15.56258
2000-Q3,29.51105,-7.0,-2.0,-4.4,33.03315,51.1,33.1,14.02541
2000-Q4,28.53193,-6.3,-5.4,-5.2,31.69579,48.7,36.7,17.0529
2001-Q1,26.05801,-7.8,-5.5,-8.3,26.97403,42.9,39.8,10.07361
2001-Q2,23.78094,-7.6,-8.3,-3.8,27.14283,40.4,27.9,6.371824
2001-Q3,23.5633,-11.9,-4.6,-4.6,23.18991,42.9,23.8,2.8514
2001-Q4,12.06241,-14.3,-13.4,-2.4,1.687222,32.1,23.8,-13.13535
2002-Q1,19.77719,-7.6,-9.2,-6.1,20.33157,32.9,31.4,-4.140831
2002-Q2,22.16304,-3.5,-4.6,-4.6,26.28913,35.6,27.5,-1.232157
2002-Q3,24.83819,-3.8,-4.5,-2.4,28.41458,43.7,30.3,3.806966
2002-Q4,25.15436,1.4,-2.0,-5.2,27.66309,42.6,33.7,1.090867
2003-Q1,22.92051,5.0,-3.7,-5.2,29.56153,34.0,41.7,1.823417
2003-Q2,21.21423,-5.5,-2.7,-5.9,22.94268,34.8,22.7,-0.3867191
2003-Q3,26.08602,-0.5,-1.6,-1.8,31.95807,44.5,32.6,2.895805
2003-Q4,29.14026,3.9,2.3,-3.0,39.02077,45.4,40.6,7.755459
2004-Q1,29.24316,4.5,4.6,-4.2,40.22949,43.3,45.7,10.0996
2004-Q2,26.36724,4.1,3.7,-2.2,38.00174,38.9,34.2,7.952565
2004-Q3,29.40832,0.9,6.0,-4.9,38.82495,44.5,37.4,7.915765
2004-Q4,29.5373,8.3,8.0,-4.3,38.41191,45.9,41.1,9.986554
2005-Q1,26.81612,9.6,7.7,-4.7,37.04835,38.7,44.5,10.54497
2005-Q2,28.66907,7.8,7.8,-6.1,39.20721,40.7,35.6,11.97579
2005-Q3,29.72421,6.6,12.7,-6.3,35.97263,46.9,40.0,8.023012
2005-Q4,30.18875,10.5,13.3,-4.4,39.86624,46.3,47.2,12.18276
2006-Q1,28.14596,9.7,14.5,-5.2,36.73789,42.5,45.1,12.54036
2006-Q2,30.69682,9.2,16.4,-2.2,40.49047,49.4,45.1,14.80774
2006-Q3,31.32773,7.6,17.9,-5.6,38.68319,49.7,41.2,16.89314
2006-Q4,32.24436,9.6,18.1,-5.5,40.53308,50.7,48.5,15.58583
2007-Q1,31.37728,11.9,18.3,-4.7,41.63183,47.8,47.7,16.07807
2007-Q2,29.72802,7.8,17.4,-3.5,39.08405,46.6,40.3,17.08611
2007-Q3,30.36259,4.9,16.7,-6.1,35.98778,49.0,39.8,12.74801
2007-Q4,27.52167,5.1,14.6,-7.5,31.165,43.9,41.2,16.42233
2008-Q1,30.51402,7.3,20.8,-6.9,39.44207,45.2,43.1,19.71196
2008-Q2,26.64826,-1.5,15.8,-3.9,32.54477,43.5,33.6,19.26893
2008-Q3,22.22929,-4.1,16.6,-4.0,22.88788,39.8,25.2,25.83688
2008-Q4,13.47565,-12.0,7.7,-8.4,6.026958,26.0,11.1,5.612759
2009-Q1,2.206216,-29.3,-5.1,-13.1,-16.38135,9.9,-8.0,-8.846135
2009-Q2,9.540559,-19.2,1.5,-4.2,2.021675,22.4,6.9,-1.22949
2009-Q3,19.19046,-11.2,8.8,-4.3,18.27139,35.0,22.6,5.630444
2009-Q4,22.95764,-3.9,12.1,-4.3,24.57292,40.0,28.9,11.22276
2010-Q1,24.31934,3.0,13.6,-4.3,32.75801,35.9,36.5,13.01333
2010-Q2,26.15888,2.5,16.8,-4.1,34.17663,40.2,35.4,14.52804
2010-Q3,28.97649,3.1,21.0,-4.3,33.52947,49.1,40.0,16.84272
2010-Q4,29.69211,5.6,20.6,-3.9,36.57633,48.6,43.9,19.81877
2011-Q1,27.45107,4.9,17.4,-6.5,35.8532,40.0,41.4,22.86098
2011-Q2,26.17008,14.0,19.4,-7.0,30.91025,40.6,32.1,18.10245
2011-Q3,22.3256,11.0,16.5,-9.5,17.57679,39.9,22.6,16.07632
2011-Q4,22.12601,13.0,13.6,-8.9,17.07804,40.4,25.3,15.79313
2012-Q1,22.76667,13.0,14.6,-8.6,25.0,34.7,33.1,17.69327
2012-Q2,19.2,10.0,12.3,-7.0,17.0,33.6,20.3,18.88021
2012-Q3,18.56667,10.0,13.3,-8.0,12.0,35.7,18.8,17.64628
2012-Q4,19.7,9.0,10.0,-9.0,13.0,37.1,18.6,16.79407
2013-Q1,15.13333,9.0,8.0,-7.0,14.0,24.4,18.6,13.29485
2013-Q2,14.16667,9.0,8.0,-8.0,6.0,28.5,9.8,12.1
2013-Q3,15.3,9.0,5.0,-10.0,7.0,28.9,10.8,13.9
2013-Q4,18.36667,10.0,7.0,-8.0,15.0,32.1,11.5,15.1
2014-Q1,16.7,10.0,7.0,-7.0,16.0,27.1,20.0,15.1
2014-Q2,18.9,9.0,9.0,-8.0,15.0,33.7,17.2,12.5
2014-Q3,18.16667,10.0,11.0,-8.0,12.0,34.5,18.5,13.3
2014-Q4,19.43333,10.6,9.0,-10.0,16.0,32.3,22.0,12.8
2015-Q1,17.66667,10.2,9.0,-11.0,13.0,29.0,16.0,10.3
2015-Q2,17.0,8.8,10.0,-11.0,11.0,29.0,15.0,7.9
2015-Q3,17.0,8.7,10.0,-10.0,12.0,29.0,16.0,6.2
2015-Q4,16.66667,9.8,9.0,-7.0,12.0,31.0,17.0,7.2
2016-Q1,16.33333,10.9,7.0,-8.0,16.0,25.0,17.0,7.1
2016-Q2,15.66667,9.3,8.0,-9.0,9.0,29.0,11.0,10.1
2016-Q3,15.0,8.7,9.0,-9.0,7.0,29.0,11.0,6.8
2016-Q4,17.66667,9.3,5.0,-9.0,16.0,28.0,18.0,5.9
2017-Q1,17.33333,8.4,9.0,-8.0,14.0,30.0,16.0,12.5
2017-Q2,17.0,9.7,9.0,-9.0,12.0,30.0,16.0,7.9
2017-Q3,20.33333,10.3,10.0,-8.0,19.0,34.0,22.0,7.0
2017-Q4,22.0,12.6,12.0,-7.0,25.0,34.0,27.0,7.9
2018-Q1,19.66667,11.0,11.0,-6.0,23.0,30.0,25.0,10.4
2018-Q2,21.66667,11.7,13.0,-7.0,25.0,33.0,26.0,8.8
2018-Q3,21.0,10.1,13.0,-10.0,20.0,33.0,25.0,14.3
2018-Q4,21.33333,11.6,12.0,-8.0,20.0,36.0,25.0,12.3
2019-Q1,19.66667,9.6,12.0,-7.0,19.0,33.0,23.0,11.0
2019-Q2,13.66667,8.1,11.0,-15.0,-3.0,29.0,-2.0,7.1
2019-Q3,8.333333,6.6,1.0,-11.0,0.0,14.0,0.0,4.6
2019-Q4,11.33333,7.6,2.0,-7.0,10.0,17.0,14.0,2.2
2020-Q1,-6.0,2.7,5.0,-13.0,-55.0,24.0,-64.0,8.3
2020-Q2,8.666667,5.9,-8.0,-9.0,6.0,11.0,10.0,-6.0
2020-Q3,17.33333,11.3,2.0,-5.0,21.0,26.0,27.0,-0.2
2020-Q4,24.33333,21.3,7.0,-8.0,33.0,32.0,36.0,10.7
2021-Q1,10.66667,5.2,18.0,-4.0,-16.0,44.0,-26.0,29.2
2021-Q2,34.0,15.4,26.0,-15.0,35.0,52.0,34.0,28.2
2021-Q3,37.33333,12.6,51.0,-10.0,30.0,72.0,31.0,57.4
2021-Q4,29.66667,12.6,47.0,-7.0,21.0,61.0,24.0,50.3
2022-Q1,32.33333,19.6,50.0,-9.0,22.0,66.0,22.0,55.7
2022-Q2,,,55.0,,,68.0,,60.3
