country,ROU
subject,CCUSMA02
measure,ST
unit,Romanian Leu
powercode,Units
reference_period,
time,
1957-01,0.0006
1957-02,0.0006
1957-03,0.0006
1957-04,0.0006
1957-05,0.0006
1957-06,0.0006
1957-07,0.0006
1957-08,0.0006
1957-09,0.0006
1957-10,0.0006
1957-11,0.0006
1957-12,0.0006
1958-01,0.0006
1958-02,0.0006
1958-03,0.0006
1958-04,0.0006
1958-05,0.0006
1958-06,0.0006
1958-07,0.0006
1958-08,0.0006
1958-09,0.0006
1958-10,0.0006
1958-11,0.0006
1958-12,0.0006
1959-01,0.0006
1959-02,0.0006
1959-03,0.0006
1959-04,0.0006
1959-05,0.0006
1959-06,0.0006
1959-07,0.0006
1959-08,0.0006
1959-09,0.0006
1959-10,0.0006
1959-11,0.0006
1959-12,0.0006
1960-01,0.0006
1960-02,0.0006
1960-03,0.0006
1960-04,0.0006
1960-05,0.0006
1960-06,0.0006
1960-07,0.0006
1960-08,0.0006
1960-09,0.0006
1960-10,0.0006
1960-11,0.0006
1960-12,0.0006
1961-01,0.0006
1961-02,0.0006
1961-03,0.0006
1961-04,0.0006
1961-05,0.0006
1961-06,0.0006
1961-07,0.0006
1961-08,0.0006
1961-09,0.0006
1961-10,0.0006
1961-11,0.0006
1961-12,0.0006
1962-01,0.0006
1962-02,0.0006
1962-03,0.0006
1962-04,0.0006
1962-05,0.0006
1962-06,0.0006
1962-07,0.0006
1962-08,0.0006
1962-09,0.0006
1962-10,0.0006
1962-11,0.0006
1962-12,0.0006
1963-01,0.0006
1963-02,0.0006
1963-03,0.0006
1963-04,0.0006
1963-05,0.0006
1963-06,0.0006
1963-07,0.0006
1963-08,0.0006
1963-09,0.0006
1963-10,0.0006
1963-11,0.0006
1963-12,0.0006
1964-01,0.0006
1964-02,0.0006
1964-03,0.0006
1964-04,0.0006
1964-05,0.0006
1964-06,0.0006
1964-07,0.0006
1964-08,0.0006
1964-09,0.0006
1964-10,0.0006
1964-11,0.0006
1964-12,0.0006
1965-01,0.0006
1965-02,0.0006
1965-03,0.0006
1965-04,0.0006
1965-05,0.0006
1965-06,0.0006
1965-07,0.0006
1965-08,0.0006
1965-09,0.0006
1965-10,0.0006
1965-11,0.0006
1965-12,0.0006
1966-01,0.0006
1966-02,0.0006
1966-03,0.0006
1966-04,0.0006
1966-05,0.0006
1966-06,0.0006
1966-07,0.0006
1966-08,0.0006
1966-09,0.0006
1966-10,0.0006
1966-11,0.0006
1966-12,0.0006
1967-01,0.0006
1967-02,0.0006
1967-03,0.0006
1967-04,0.0006
1967-05,0.0006
1967-06,0.0006
1967-07,0.0006
1967-08,0.0006
1967-09,0.0006
1967-10,0.0006
1967-11,0.0006
1967-12,0.0006
1968-01,0.0006
1968-02,0.0006
1968-03,0.0006
1968-04,0.0006
1968-05,0.0006
1968-06,0.0006
1968-07,0.0006
1968-08,0.0006
1968-09,0.0006
1968-10,0.0006
1968-11,0.0006
1968-12,0.0006
1969-01,0.0006
1969-02,0.0006
1969-03,0.0006
1969-04,0.0006
1969-05,0.0006
1969-06,0.0006
1969-07,0.0006
1969-08,0.0006
1969-09,0.0006
1969-10,0.0006
1969-11,0.0006
1969-12,0.0006
1970-01,0.0006
1970-02,0.0006
1970-03,0.0006
1970-04,0.0006
1970-05,0.0006
1970-06,0.0006
1970-07,0.0006
1970-08,0.0006
1970-09,0.0006
1970-10,0.0006
1970-11,0.0006
1970-12,0.0006
1971-01,0.0006
1971-02,0.0006
1971-03,0.0006
1971-04,0.0006
1971-05,0.0006
1971-06,0.0006
1971-07,0.0006
1971-08,0.0006
1971-09,0.0006
1971-10,0.0006
1971-11,0.0006
1971-12,0.0006
1972-01,0.000553
1972-02,0.000553
1972-03,0.000553
1972-04,0.000553
1972-05,0.000553
1972-06,0.000553
1972-07,0.000553
1972-08,0.000553
1972-09,0.000553
1972-10,0.000553
1972-11,0.000553
1972-12,0.000553
1973-01,0.000553
1973-02,0.002
1973-03,0.002
1973-04,0.002
1973-05,0.002
1973-06,0.002
1973-07,0.002
1973-08,0.002
1973-09,0.002
1973-10,0.002
1973-11,0.002
1973-12,0.002
1974-01,0.002
1974-02,0.002
1974-03,0.002
1974-04,0.002
1974-05,0.002
1974-06,0.002
1974-07,0.002
1974-08,0.002
1974-09,0.002
1974-10,0.002
1974-11,0.002
1974-12,0.002
1975-01,0.002
1975-02,0.002
1975-03,0.002
1975-04,0.002
1975-05,0.002
1975-06,0.002
1975-07,0.002
1975-08,0.002
1975-09,0.002
1975-10,0.002
1975-11,0.002
1975-12,0.002
1976-01,0.002
1976-02,0.002
1976-03,0.002
1976-04,0.002
1976-05,0.002
1976-06,0.002
1976-07,0.002
