country,SVN,SVN
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1996-Q1,,61.99287
1996-Q2,,62.72178
1996-Q3,,63.53651
1996-Q4,,64.64134
1997-Q1,4.803695,64.97083
1997-Q2,5.970969,66.46687
1997-Q3,5.528572,67.04917
1997-Q4,4.112138,67.29948
1998-Q1,4.228364,67.71803
1998-Q2,2.607327,68.19988
1998-Q3,2.599364,68.79202
1998-Q4,2.998378,69.31738
1999-Q1,4.055079,70.46404
1999-Q2,7.718914,73.46417
1999-Q3,4.021375,71.5584
1999-Q4,5.055185,72.8215
2000-Q1,4.443827,73.59534
2000-Q2,1.579626,74.62463
2000-Q3,5.495223,75.4907
2000-Q4,4.386089,76.01552
2001-Q1,4.611081,76.98888
2001-Q2,3.4061,77.16642
2001-Q3,2.832925,77.6293
2001-Q4,3.144379,78.40573
2002-Q1,3.218457,79.46674
2002-Q2,2.832227,79.35195
2002-Q3,3.425397,80.28841
2002-Q4,4.148308,81.65824
2003-Q1,2.726905,81.63372
2003-Q2,3.047858,81.77048
2003-Q3,3.332222,82.96379
2003-Q4,2.249908,83.49548
2004-Q1,3.288344,84.31812
2004-Q2,4.408195,85.37509
2004-Q3,3.927372,86.22209
2004-Q4,3.676332,86.56505
2005-Q1,3.589138,87.34441
2005-Q2,4.103668,88.8786
2005-Q3,3.928201,89.60907
2005-Q4,5.333146,91.18169
2006-Q1,5.168036,91.85841
2006-Q2,5.560752,93.82092
2006-Q3,6.45882,95.39676
2006-Q4,6.897499,97.47095
2007-Q1,8.125963,99.32278
2007-Q2,7.190781,100.5674
2007-Q3,7.551967,102.6011
2007-Q4,5.456589,102.7895
2008-Q1,5.150139,104.438
2008-Q2,5.625067,106.2244
2008-Q3,2.924389,105.6015
2008-Q4,-1.12426,101.6339
2009-Q1,-6.920945,97.20995
2009-Q2,-9.494779,96.13859
2009-Q3,-8.736008,96.37618
2009-Q4,-5.29718,96.25018
2010-Q1,-1.116043,96.12505
2010-Q2,1.773057,97.84318
2010-Q3,1.791412,98.10268
2010-Q4,2.473497,98.63093
2011-Q1,3.264659,99.2632
2011-Q2,0.9117426,98.73526
2011-Q3,0.4605207,98.55447
2011-Q4,-0.04767736,98.5839
2012-Q1,-1.295888,97.97686
2012-Q2,-2.553074,96.21448
2012-Q3,-2.158727,96.42694
2012-Q4,-4.148002,94.49464
2013-Q1,-3.368122,94.67688
2013-Q2,-1.303406,94.96041
2013-Q3,-1.498036,94.98243
2013-Q4,2.460592,96.81976
2014-Q1,2.341812,96.89404
2014-Q2,2.916237,97.72968
2014-Q3,3.514349,98.32044
2014-Q4,1.679777,98.44612
2015-Q1,2.083325,98.91265
2015-Q2,1.91491,99.60111
2015-Q3,1.950297,100.238
2015-Q4,1.965423,100.381
2016-Q1,2.506242,101.3916
2016-Q2,3.143622,102.7322
2016-Q3,3.387442,103.6335
2016-Q4,4.052608,104.4491
2017-Q1,4.88799,106.3477
2017-Q2,4.725107,107.5864
2017-Q3,4.678065,108.4815
2017-Q4,6.184106,110.9083
2018-Q1,4.480442,111.1125
2018-Q2,4.71702,112.6613
2018-Q3,5.023338,113.9309
2018-Q4,4.027156,115.3747
2019-Q1,4.558315,116.1774
2019-Q2,2.952081,115.9871
2019-Q3,2.962569,117.3062
2019-Q4,3.263541,119.14
2020-Q1,-2.256621,113.5557
2020-Q2,-11.58693,102.5478
2020-Q3,-2.039533,114.9137
2020-Q4,-3.731657,114.6941
2021-Q1,2.667439,116.5847
2021-Q2,15.79853,118.7488
2021-Q3,4.798648,120.428
2021-Q4,10.43971,126.6679
2022-Q1,9.394086,127.5368
2022-Q2,8.30184,128.6072
