country,RUS,RUS
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1995-Q1,,52.29271
1995-Q2,,52.71835
1995-Q3,,52.94631
1995-Q4,,51.81057
1996-Q1,-2.228657,51.12728
1996-Q2,-3.508261,50.86885
1996-Q3,-5.362313,50.10717
1996-Q4,-3.079255,50.21519
1997-Q1,-0.46484,50.88962
1997-Q2,-0.9991508,50.3606
1997-Q3,2.89406,51.5573
1997-Q4,3.684353,52.06529
1998-Q1,-1.27338,50.2416
1998-Q2,-1.315779,49.69796
1998-Q3,-8.858108,46.9903
1998-Q4,-8.850532,47.45724
1999-Q1,-1.672745,49.40119
1999-Q2,2.925791,51.15202
1999-Q3,10.99972,52.1591
1999-Q4,12.2963,53.29272
2000-Q1,11.86944,55.26484
2000-Q2,10.11539,56.32625
2000-Q3,10.0366,57.3941
2000-Q4,8.392335,57.76522
2001-Q1,5.147715,58.10971
2001-Q2,5.010602,59.14853
2001-Q3,5.669254,60.64792
2001-Q4,4.455436,60.33892
2002-Q1,4.287237,60.60101
2002-Q2,4.278098,61.67897
2002-Q3,4.335154,63.2771
2002-Q4,6.033773,63.97963
2003-Q1,8.106167,65.51344
2003-Q2,7.401596,66.24419
2003-Q3,6.456377,67.3625
2003-Q4,7.207674,68.59107
2004-Q1,6.66465,69.87968
2004-Q2,7.520947,71.22639
2004-Q3,7.337356,72.30513
2004-Q4,6.593498,73.11362
2005-Q1,6.45687,74.39172
2005-Q2,6.033988,75.52418
2005-Q3,6.292684,76.85506
2005-Q4,7.285695,78.44046
2006-Q1,7.478152,79.95484
2006-Q2,7.904592,81.49405
2006-Q3,8.470743,83.36526
2006-Q4,8.296872,84.94857
2007-Q1,8.172613,86.48923
2007-Q2,8.808004,88.67205
2007-Q3,8.711192,90.62737
2007-Q4,10.09233,93.52185
2008-Q1,11.00011,96.00315
2008-Q2,8.940648,96.59991
2008-Q3,5.001309,95.15992
2008-Q4,-1.557639,92.06512
2009-Q1,-7.484284,88.818
2009-Q2,-9.397149,87.52227
2009-Q3,-7.64864,87.88148
2009-Q4,-3.511662,88.83211
2010-Q1,2.154681,90.73174
2010-Q2,4.651978,91.59379
2010-Q3,4.769843,92.0733
2010-Q4,4.951509,93.23064
2011-Q1,3.941124,94.30759
2011-Q2,3.938645,95.20134
2011-Q3,4.587799,96.29743
2011-Q4,4.536879,97.4604
2012-Q1,4.965896,98.99081
2012-Q2,4.382964,99.37398
2012-Q3,3.727481,99.88689
2012-Q4,2.558793,99.95421
2013-Q1,1.721086,100.6945
2013-Q2,1.673904,101.0374
2013-Q3,1.192806,101.0784
2013-Q4,1.708512,101.6619
2014-Q1,0.9532003,101.6544
2014-Q2,1.095166,102.1439
2014-Q3,0.732738,101.819
2014-Q4,-0.08116216,101.5794
2015-Q1,-1.09018,100.5461
2015-Q2,-2.223591,99.87267
2015-Q3,-1.721727,100.0659
2015-Q4,-1.743893,99.80799
2016-Q1,-0.5454759,99.99768
2016-Q2,0.1790862,100.0515
2016-Q3,0.08629021,100.1523
2016-Q4,1.172923,100.9787
2017-Q1,1.184665,101.1823
2017-Q2,1.828467,101.8809
2017-Q3,2.417225,102.5732
2017-Q4,1.600416,102.5947
2018-Q1,2.770877,103.986
2018-Q2,2.635629,104.5661
2018-Q3,2.189001,104.8185
2018-Q4,2.84591,105.5145
2019-Q1,1.431307,105.4743
2019-Q2,3.149878,107.8598
2019-Q3,1.894763,106.8046
2019-Q4,0.764658,106.3213
2020-Q1,0.6051418,106.1126
2020-Q2,-6.032287,101.3534
2020-Q3,-2.467576,104.1691
2020-Q4,-1.299479,104.9397
2021-Q1,-0.4320613,105.6541
2021-Q2,7.569584,109.0255
2021-Q3,3.830446,108.1592
