country,COL,COL
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1994-Q1,,47.49101
1994-Q2,,48.31655
1994-Q3,,49.29195
1994-Q4,,49.46756
1995-Q1,6.178674,50.42532
1995-Q2,5.550116,50.99817
1995-Q3,3.892193,51.21049
1995-Q4,5.231213,52.05531
1996-Q1,2.973876,51.92491
1996-Q2,2.262966,52.15224
1996-Q3,2.203541,52.33893
1996-Q4,0.8183845,52.48133
1997-Q1,0.796165,52.33832
1997-Q2,3.791339,54.12951
1997-Q3,4.229609,54.55267
1997-Q4,4.880566,55.04271
1998-Q1,5.632545,55.2863
1998-Q2,2.229911,55.33655
1998-Q3,-0.9437837,54.03781
1998-Q4,-4.376722,52.63365
1999-Q1,-5.914057,52.01663
1999-Q2,-6.819133,51.56308
1999-Q3,-3.18831,52.31491
1999-Q4,-0.7011802,52.26459
2000-Q1,2.691189,53.4165
2000-Q2,3.626575,53.43305
2000-Q3,2.71115,53.73325
2000-Q4,2.679048,53.66478
2001-Q1,1.193008,54.05376
2001-Q2,1.413706,54.18844
2001-Q3,1.673248,54.63234
2001-Q4,2.428253,54.9679
2002-Q1,0.7919937,54.48186
2002-Q2,4.004276,56.35829
2002-Q3,2.784625,56.15364
2002-Q4,2.429543,56.30337
2003-Q1,4.187093,56.76307
2003-Q2,2.419,57.7216
2003-Q3,4.020902,58.41153
2003-Q4,5.056525,59.15036
2004-Q1,6.180661,60.2714
2004-Q2,4.397868,60.26012
2004-Q3,4.385852,60.97337
2004-Q4,6.367498,62.91676
2005-Q1,4.243116,62.82879
2005-Q2,6.019923,63.88773
2005-Q3,4.910533,63.96749
2005-Q4,3.694922,65.24149
2006-Q1,5.989892,66.59217
2006-Q2,5.667324,67.50845
2006-Q3,7.691784,68.88773
2006-Q4,7.48885,70.12732
2007-Q1,6.915824,71.19756
2007-Q2,6.731785,72.05298
2007-Q3,6.851689,73.6077
2007-Q4,6.464201,74.66049
2008-Q1,5.428384,75.06244
2008-Q2,4.220852,75.09423
2008-Q3,3.273055,76.01692
2008-Q4,0.3435723,74.91701
2009-Q1,-0.08270243,75.00037
2009-Q2,0.8968713,75.76773
2009-Q3,0.6287012,76.49484
2009-Q4,3.126173,77.25904
2010-Q1,3.925804,77.94473
2010-Q2,4.264609,78.99892
2010-Q3,4.224504,79.72637
2010-Q4,5.539975,81.53918
2011-Q1,6.528055,83.033
2011-Q2,6.799903,84.37077
2011-Q3,7.977003,86.08614
2011-Q4,6.486369,86.8281
2012-Q1,5.868143,87.9055
2012-Q2,4.83184,88.44743
2012-Q3,2.412794,88.16323
2012-Q4,2.636436,89.11727
2013-Q1,2.997262,90.54026
2013-Q2,5.123986,92.97947
2013-Q3,6.1031,93.54392
2013-Q4,6.292872,94.72531
2014-Q1,6.108813,96.07119
2014-Q2,3.856147,96.5649
2014-Q3,4.086043,97.36617
2014-Q4,3.999239,98.5136
2015-Q1,3.211524,99.15654
2015-Q2,3.346305,99.79625
2015-Q3,3.581205,100.853
2015-Q4,1.705915,100.1942
2016-Q1,2.619322,101.7538
2016-Q2,1.92561,101.7179
2016-Q3,1.345975,102.2105
2016-Q4,2.468364,102.6673
2017-Q1,0.7841862,102.5517
2017-Q2,1.650324,103.3966
2017-Q3,1.62911,103.8756
2017-Q4,1.372596,104.0765
2018-Q1,2.073999,104.6786
2018-Q2,2.400397,105.8785
2018-Q3,2.918046,106.9068
2018-Q4,2.857284,107.0503
2019-Q1,3.136117,107.9615
2019-Q2,3.378192,109.4553
2019-Q3,3.260055,110.392
2019-Q4,2.974125,110.2341
2020-Q1,0.7128159,108.731
2020-Q2,-16.52884,91.36363
2020-Q3,-8.674749,100.8158
2020-Q4,-3.606481,106.2585
2021-Q1,1.150029,109.9815
2021-Q2,18.21576,108.0062
2021-Q3,13.94891,114.8784
2021-Q4,10.83939,117.7763
2022-Q1,8.15381,118.9492
