country,SVK,SVK
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1993-Q1,,39.73672
1993-Q2,,40.28944
1993-Q3,,40.75673
1993-Q4,,41.37073
1994-Q1,5.973834,42.11053
1994-Q2,5.793638,42.62366
1994-Q3,6.567375,43.43337
1994-Q4,6.472728,44.04854
1995-Q1,6.188054,44.71635
1995-Q2,6.656656,45.46098
1995-Q3,5.280208,45.72675
1995-Q4,5.785038,46.59677
1996-Q1,5.966187,47.38422
1996-Q2,5.461809,47.94397
1996-Q3,7.472285,49.14358
1996-Q4,7.540611,50.11045
1997-Q1,6.801539,50.60707
1997-Q2,7.122949,51.35899
1997-Q3,6.241627,52.21094
1997-Q4,3.642729,51.93584
1998-Q1,4.435758,52.85188
1998-Q2,2.923039,52.86023
1998-Q3,0.4170475,52.42868
1998-Q4,8.544324,56.3734
1999-Q1,3.104396,54.49261
1999-Q2,1.338586,53.56781
1999-Q3,1.535567,53.23376
1999-Q4,-5.996793,52.99281
2000-Q1,-1.71739,53.55676
2000-Q2,0.9698172,54.08732
2000-Q3,2.221855,54.41653
2000-Q4,3.270792,54.72609
2001-Q1,2.908421,55.11441
2001-Q2,2.972372,55.695
2001-Q3,2.747238,55.91149
2001-Q4,4.373578,57.11958
2002-Q1,3.972468,57.30382
2002-Q2,3.924257,57.88062
2002-Q3,5.840567,59.17704
2002-Q4,4.295187,59.57297
2003-Q1,5.806071,60.63092
2003-Q2,6.331496,61.54532
2003-Q3,4.418486,61.79176
2003-Q4,5.468442,62.83068
2004-Q1,4.973171,63.6462
2004-Q2,4.103256,64.07069
2004-Q3,6.085567,65.55214
2004-Q4,5.932109,66.55787
2005-Q1,5.871239,67.38302
2005-Q2,7.371727,68.7938
2005-Q3,6.661444,69.91886
2005-Q4,6.585068,70.94075
2006-Q1,7.780879,72.62601
2006-Q2,8.036306,74.32228
2006-Q3,8.332524,75.74487
2006-Q4,9.771132,77.87247
2007-Q1,9.483629,79.51359
2007-Q2,9.63407,81.48254
2007-Q3,10.12288,83.41243
2007-Q4,13.9227,88.71442
2008-Q1,8.445298,86.22875
2008-Q2,7.148925,87.30767
2008-Q3,6.155606,88.54697
2008-Q4,1.010438,89.61082
2009-Q1,-6.054572,81.00797
2009-Q2,-5.683418,82.34561
2009-Q3,-5.401348,83.76424
2009-Q4,-4.71062,85.3896
2010-Q1,7.354682,86.96585
2010-Q2,6.844019,87.98136
2010-Q3,6.190143,88.94937
2010-Q4,4.856432,89.53648
2011-Q1,3.304262,89.83942
2011-Q2,2.816964,90.45976
2011-Q3,2.170027,90.87959
2011-Q4,2.277541,91.57571
2012-Q1,2.175192,91.79361
2012-Q2,1.638881,91.94229
2012-Q3,1.261502,92.02604
2012-Q4,0.3755063,91.91959
2013-Q1,0.1745255,91.95381
2013-Q2,0.3342178,92.24958
2013-Q3,0.7046629,92.67451
2013-Q4,1.405018,93.21107
2014-Q1,1.99311,93.78655
2014-Q2,2.442354,94.50264
2014-Q3,2.956273,95.41422
2014-Q4,3.494321,96.46816
2015-Q1,4.84112,98.32687
2015-Q2,5.342888,99.55181
2015-Q3,5.537637,100.6979
2015-Q4,5.136652,101.4234
2016-Q1,3.12517,101.3997
2016-Q2,2.107515,101.6499
2016-Q3,1.319488,102.0266
2016-Q4,1.209854,102.6505
2017-Q1,2.090109,103.5191
2017-Q2,2.792101,104.488
2017-Q3,3.242846,105.3352
2017-Q4,3.78461,106.5354
2018-Q1,3.709406,107.3591
2018-Q2,3.91783,108.5817
2018-Q3,4.091634,109.6451
2018-Q4,3.462086,110.2237
2019-Q1,3.599724,111.2237
2019-Q2,2.787886,111.6088
2019-Q3,2.035337,111.8768
2019-Q4,2.0241,112.4548
2020-Q1,-2.787526,108.1233
2020-Q2,-10.12923,100.3037
2020-Q3,-2.221434,109.3915
2020-Q4,-2.312042,109.8548
2021-Q1,0.2156426,108.3565
2021-Q2,9.967578,110.3016
2021-Q3,1.240071,110.748
2021-Q4,1.210878,111.185
2022-Q1,3.046602,111.6577
2022-Q2,1.688123,112.1636
