country,IND,IND
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1996-Q2,,28.43648
1996-Q3,,28.57553
1996-Q4,,29.02862
1997-Q1,,29.24702
1997-Q2,3.271867,29.36689
1997-Q3,3.995211,29.71719
1997-Q4,4.010855,30.19291
1998-Q1,4.916954,30.68508
1998-Q2,5.85828,31.08728
1998-Q3,6.508867,31.65144
1998-Q4,6.204705,32.0663
1999-Q1,6.198517,32.5871
1999-Q2,7.531356,33.42858
1999-Q3,6.929968,33.84487
1999-Q4,7.28888,34.40357
2000-Q1,7.790751,35.12588
2000-Q2,5.219166,35.17327
2000-Q3,5.304763,35.64026
2000-Q4,3.63806,35.65519
2001-Q1,2.055704,35.84797
2001-Q2,4.039507,36.5941
2001-Q3,3.946242,37.04671
2001-Q4,6.288201,37.89726
2002-Q1,6.569868,38.20313
2002-Q2,5.048166,38.44143
2002-Q3,4.380652,38.6696
2002-Q4,2.117815,38.69986
2003-Q1,3.580587,39.57103
2003-Q2,5.546134,40.57344
2003-Q3,7.685049,41.64138
2003-Q4,11.13362,43.00855
2004-Q1,9.083127,43.16531
2004-Q2,8.918198,44.19186
2004-Q3,8.669361,45.25142
2004-Q4,7.252543,46.12777
2005-Q1,8.734178,46.93545
2005-Q2,9.57187,48.42184
2005-Q3,8.49515,49.0956
2005-Q4,9.124488,50.33669
2006-Q1,9.933773,51.59791
2006-Q2,8.089747,52.33905
2006-Q3,10.12762,54.06781
2006-Q4,9.250466,54.99306
2007-Q1,9.557228,56.52924
2007-Q2,10.72776,57.95386
2007-Q3,9.110817,58.99383
2007-Q4,10.89759,60.98598
2008-Q1,8.537632,61.3555
2008-Q2,6.974694,61.99596
2008-Q3,6.003424,62.53548
2008-Q4,2.666428,62.61213
2009-Q1,0.1641672,61.45622
2009-Q2,4.882524,65.02293
2009-Q3,6.633138,66.68354
2009-Q4,8.767616,68.10172
2010-Q1,13.69473,69.87248
2010-Q2,10.03998,71.55122
2010-Q3,10.47142,73.66626
2010-Q4,10.68164,75.3761
2011-Q1,9.85149,76.75597
2011-Q2,8.573941,77.68597
2011-Q3,5.452604,77.68298
2011-Q4,4.739247,78.94836
2012-Q1,4.27654,80.03847
2012-Q2,4.221217,80.96527
2012-Q3,6.095026,82.41779
2012-Q4,5.633575,83.39597
2013-Q1,5.860672,84.72926
2013-Q2,6.117971,85.9187
2013-Q3,5.916901,87.29436
2013-Q4,6.97856,89.21581
2014-Q1,6.515544,90.24983
2014-Q2,7.446033,92.31624
2014-Q3,7.683638,94.00175
2014-Q4,6.980699,95.4437
2015-Q1,7.536233,97.05127
2015-Q2,7.380777,99.12989
2015-Q3,7.40231,100.96
2015-Q4,7.929636,103.012
2016-Q1,9.222462,106.0018
2016-Q2,8.836438,107.8894
2016-Q3,9.312106,110.3616
2016-Q4,8.595396,111.8663
2017-Q1,6.37876,112.7634
2017-Q2,6.657112,115.0718
2017-Q3,5.999673,116.9829
2017-Q4,6.532052,119.1735
2018-Q1,7.967655,121.748
2018-Q2,7.18732,123.3423
2018-Q3,6.918297,125.0761
2018-Q4,6.592344,127.0298
2019-Q1,5.486223,128.4274
2019-Q2,5.264517,129.8357
2019-Q3,4.742062,131.0073
2019-Q4,3.572475,131.5679
2020-Q1,2.64876,131.8291
2020-Q2,-24.1861,98.43353
2020-Q3,-6.787076,122.1157
2020-Q4,0.7776237,132.591
2021-Q1,0.9512752,133.0831
2021-Q2,19.50214,117.6302
2021-Q3,8.547387,132.5534
