country,HUN,HUN
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1995-Q1,,63.50476
1995-Q2,,63.40645
1995-Q3,,63.41664
1995-Q4,,63.15012
1996-Q1,0.002773402,63.50652
1996-Q2,-0.4162044,63.14255
1996-Q3,-0.544252,63.07149
1996-Q4,1.117148,63.8556
1997-Q1,1.513029,64.46739
1997-Q2,3.170958,65.14478
1997-Q3,4.214103,65.72939
1997-Q4,3.822851,66.29671
1998-Q1,3.745965,66.88232
1998-Q2,4.168502,67.86034
1998-Q3,4.153071,68.45918
1998-Q4,3.347565,68.51603
1999-Q1,2.542324,68.58268
1999-Q2,2.104493,69.28845
1999-Q3,3.041471,70.54134
1999-Q4,4.145254,71.35619
2000-Q1,4.933588,71.96627
2000-Q2,4.982254,72.74058
2000-Q3,4.01442,73.37317
2000-Q4,4.719708,74.724
2001-Q1,4.578977,75.26159
2001-Q2,4.326832,75.88794
2001-Q3,4.36779,76.57796
2001-Q4,3.233157,77.13994
2002-Q1,4.789778,78.86645
2002-Q2,4.524128,79.32121
2002-Q3,4.559708,80.06969
2002-Q4,5.065646,81.04758
2003-Q1,3.535048,81.65442
2003-Q2,4.01075,82.50258
2003-Q3,4.286764,83.50208
2003-Q4,4.11473,84.38247
2004-Q1,4.918875,85.6709
2004-Q2,5.021636,86.64556
2004-Q3,5.028626,87.7011
2004-Q4,4.40974,88.10352
2005-Q1,3.847113,88.96675
2005-Q2,4.599916,90.63118
2005-Q3,4.12375,91.31767
2005-Q4,4.813503,92.34438
2006-Q1,4.724287,93.1698
2006-Q2,4.127963,94.37241
2006-Q3,3.92306,94.90012
2006-Q4,3.69138,95.75316
2007-Q1,1.601317,94.66174
2007-Q2,0.1262761,94.49158
2007-Q3,0.08361149,94.97946
2007-Q4,-0.5167279,95.25838
2008-Q1,1.584633,96.16178
2008-Q2,2.376467,96.73714
2008-Q3,1.663921,96.55984
2008-Q4,-2.179746,93.18199
2009-Q1,-7.089359,89.34453
2009-Q2,-7.630842,89.35528
2009-Q3,-7.456697,89.35967
2009-Q4,-4.110425,89.35181
2010-Q1,0.02059617,89.36293
2010-Q2,0.833475,90.10003
2010-Q3,1.623904,90.81078
2010-Q4,1.634606,90.81236
2011-Q1,2.502911,91.5996
2011-Q2,1.642864,91.58025
2011-Q3,1.056177,91.76991
2011-Q4,2.286941,92.88919
2012-Q1,-0.3851517,91.2468
2012-Q2,-0.9695515,90.69234
2012-Q3,-0.8901569,90.95301
2012-Q4,-2.205755,90.84028
2013-Q1,-0.2362359,91.03125
2013-Q2,1.38279,91.94642
2013-Q3,2.608951,93.32593
2013-Q4,3.649767,94.15574
2014-Q1,4.263912,94.91274
2014-Q2,4.591078,96.16775
2014-Q3,3.993966,97.05334
2014-Q4,3.67834,97.61911
2015-Q1,4.569101,99.2494
2015-Q2,3.311922,99.35275
2015-Q3,3.131316,100.0924
2015-Q4,3.610517,101.1437
2016-Q1,1.354705,100.5939
2016-Q2,2.621778,101.9576
2016-Q3,2.378785,102.4734
2016-Q4,2.191008,103.3597
2017-Q1,4.219965,104.839
2017-Q2,4.027698,106.0641
2017-Q3,4.447687,107.0311
2017-Q4,5.048488,108.5778
2018-Q1,5.421755,110.5231
2018-Q2,5.199426,111.5788
2018-Q3,5.67082,113.1006
2018-Q4,5.29457,114.3266
2019-Q1,5.219037,116.2913
2019-Q2,4.620848,116.7347
2019-Q3,4.394811,118.0712
2019-Q4,3.995441,118.8944
2020-Q1,1.750674,118.3272
2020-Q2,-13.26232,101.253
2020-Q3,-4.504744,112.7523
2020-Q4,-3.441349,114.8028
2021-Q1,-1.5159,116.5335
2021-Q2,17.34054,118.8108
2021-Q3,6.075593,119.6027
