country,SVK,SVK
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1993-Q1,,39.73672
1993-Q2,,40.28944
1993-Q3,,40.75673
1993-Q4,,41.37073
1994-Q1,5.973834,42.11053
1994-Q2,5.793638,42.62366
1994-Q3,6.567375,43.43337
1994-Q4,6.472728,44.04854
1995-Q1,6.188114,44.71638
1995-Q2,6.656768,45.46102
1995-Q3,5.280068,45.72668
1995-Q4,5.78501,46.59676
1996-Q1,5.966153,47.38423
1996-Q2,5.461554,47.9439
1996-Q3,7.472457,49.14359
1996-Q4,7.540726,50.11049
1997-Q1,6.80147,50.60705
1997-Q2,7.123096,51.35899
1997-Q3,6.241769,52.21102
1997-Q4,3.642517,51.93577
1998-Q1,4.435865,52.85191
1998-Q2,2.922906,52.86016
1998-Q3,0.4164719,52.42847
1998-Q4,8.544942,56.37365
1999-Q1,3.104377,54.49263
1999-Q2,1.338683,53.56779
1999-Q3,1.535979,53.23376
1999-Q4,-5.997218,52.9928
2000-Q1,-1.717388,53.55679
2000-Q2,0.9698907,54.08735
2000-Q3,2.221834,54.41652
2000-Q4,3.270736,54.72606
2001-Q1,2.908315,55.11438
2001-Q2,2.972358,55.69501
2001-Q3,2.747118,55.91141
2001-Q4,4.373816,57.11967
2002-Q1,3.972498,57.3038
2002-Q2,3.924155,57.88057
2002-Q3,5.840888,59.17713
2002-Q4,4.294945,59.57293
2003-Q1,5.806125,60.63093
2003-Q2,6.331663,61.54538
2003-Q3,4.418187,61.79169
2003-Q4,5.468527,62.8307
2004-Q1,4.973187,63.64622
2004-Q2,4.103015,64.07059
2004-Q3,6.085767,65.55219
2004-Q4,5.932134,66.5579
2005-Q1,5.871141,67.38298
2005-Q2,7.371956,68.79385
2005-Q3,6.661423,69.91889
2005-Q4,6.584962,70.94071
2006-Q1,7.78095,72.62602
2006-Q2,8.036279,74.32231
2006-Q3,8.332406,75.74482
2006-Q4,9.771209,77.87247
2007-Q1,9.483635,79.5136
2007-Q2,9.634118,81.48261
2007-Q3,10.12313,83.41257
2007-Q4,13.92241,88.7142
2008-Q1,8.445419,86.22887
2008-Q2,7.14887,87.3077
2008-Q3,6.155438,88.54697
2008-Q4,1.010523,89.61067
2009-Q1,-6.054642,81.00801
2009-Q2,-5.683438,82.34562
2009-Q3,-5.401386,83.76421
2009-Q4,-4.710493,85.38957
2010-Q1,7.354653,86.96587
2010-Q2,6.843976,87.98133
2010-Q3,6.190184,88.94937
2010-Q4,4.856461,89.53648
2011-Q1,3.304188,89.83939
2011-Q2,2.817004,90.45977
2011-Q3,2.170006,90.87958
2011-Q4,2.277594,91.57576
2012-Q1,2.175242,91.79361
2012-Q2,1.63887,91.94229
2012-Q3,1.261534,92.02605
2012-Q4,0.3754385,91.91957
2013-Q1,0.174492,91.95378
2013-Q2,0.3342122,92.24957
2013-Q3,0.7046588,92.67452
2013-Q4,1.405061,93.2111
2014-Q1,1.993167,93.78658
2014-Q2,2.442384,94.50266
2014-Q3,2.956274,95.41424
2014-Q4,3.494232,96.46811
2015-Q1,4.841123,98.3269
2015-Q2,5.342834,99.55178
2015-Q3,5.537614,100.6979
2015-Q4,5.136725,101.4234
2016-Q1,3.125064,101.3997
2016-Q2,2.107506,101.6498
2016-Q3,1.319513,102.0266
2016-Q4,1.20994,102.6506
2017-Q1,2.090389,103.5193
2017-Q2,2.79232,104.4882
2017-Q3,3.242786,105.3351
2017-Q4,3.784175,106.535
2018-Q1,3.708306,107.3581
2018-Q2,3.916937,108.581
2018-Q3,4.091775,109.6452
2018-Q4,3.46389,110.2253
2019-Q1,3.60322,111.2265
2019-Q2,2.790788,111.6112
2019-Q3,2.035192,111.8767
2019-Q4,2.017998,112.4497
2020-Q1,-2.812823,108.0979
2020-Q2,-10.14245,100.2911
2020-Q3,-2.216596,109.3969
2020-Q4,-2.278542,109.8874
2021-Q1,0.280406,108.401
2021-Q2,10.13,110.4506
2021-Q3,1.34135,110.8642
