country,COL,COL
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1994-Q1,,47.49101
1994-Q2,,48.31655
1994-Q3,,49.29195
1994-Q4,,49.46756
1995-Q1,6.178674,50.42532
1995-Q2,5.550116,50.99817
1995-Q3,3.892193,51.21049
1995-Q4,5.231213,52.05531
1996-Q1,2.973876,51.92491
1996-Q2,2.262966,52.15224
1996-Q3,2.203541,52.33893
1996-Q4,0.8183845,52.48133
1997-Q1,0.796165,52.33832
1997-Q2,3.791339,54.12951
1997-Q3,4.229609,54.55267
1997-Q4,4.880566,55.04271
1998-Q1,5.632545,55.2863
1998-Q2,2.229911,55.33655
1998-Q3,-0.9437837,54.03781
1998-Q4,-4.376722,52.63365
1999-Q1,-5.914057,52.01663
1999-Q2,-6.819133,51.56308
1999-Q3,-3.18831,52.31491
1999-Q4,-0.7011802,52.26459
2000-Q1,2.691189,53.4165
2000-Q2,3.626575,53.43305
2000-Q3,2.71115,53.73325
2000-Q4,2.679048,53.66478
2001-Q1,1.193008,54.05376
2001-Q2,1.413706,54.18844
2001-Q3,1.673248,54.63234
2001-Q4,2.428253,54.9679
2002-Q1,0.7919937,54.48186
2002-Q2,4.004276,56.35829
2002-Q3,2.784625,56.15364
2002-Q4,2.429543,56.30337
2003-Q1,4.187093,56.76307
2003-Q2,2.419,57.7216
2003-Q3,4.020902,58.41153
2003-Q4,5.056525,59.15036
2004-Q1,6.180661,60.2714
2004-Q2,4.397868,60.26012
2004-Q3,4.385852,60.97337
2004-Q4,6.367498,62.91676
2005-Q1,4.343122,62.88906
2005-Q2,5.935402,63.8368
2005-Q3,5.005318,64.02528
2005-Q4,3.588216,65.17435
2006-Q1,5.796316,66.53432
2006-Q2,6.004216,67.6697
2006-Q3,7.669602,68.93577
2006-Q4,7.367234,69.9759
2007-Q1,7.183548,71.31384
2007-Q2,6.480238,72.05486
2007-Q3,6.82729,73.64221
2007-Q4,6.476429,74.50784
2008-Q1,4.851338,74.77351
2008-Q2,4.537472,75.32433
2008-Q3,3.447499,76.18103
2008-Q4,0.4078798,74.81174
2009-Q1,0.5326136,75.17177
2009-Q2,0.6964743,75.84894
2009-Q3,0.3497851,76.44749
2009-Q4,2.996905,77.05378
2010-Q1,3.880869,78.08909
2010-Q2,4.146277,78.99384
2010-Q3,4.267511,79.7099
2010-Q4,5.661753,81.41637
2011-Q1,6.230555,82.95447
2011-Q2,6.962228,84.49358
2011-Q3,7.929773,86.03072
2011-Q4,6.660703,86.83927
2012-Q1,5.547517,87.55638
2012-Q2,4.720575,88.48216
2012-Q3,2.700269,88.35378
2012-Q4,2.765856,89.24112
2013-Q1,3.607469,90.71495
2013-Q2,4.921808,92.83708
2013-Q3,5.86454,93.53532
2013-Q4,6.118799,94.70161
2014-Q1,5.759671,95.93983
2014-Q2,4.107854,96.6507
2014-Q3,4.159173,97.42561
2014-Q4,4.010604,98.49971
2015-Q1,3.418458,99.2195
2015-Q2,3.092966,99.64007
2015-Q3,3.537004,100.8716
2015-Q4,1.796109,100.2689
2016-Q1,2.064175,101.2676
2016-Q2,2.175526,101.8078
2016-Q3,1.509064,102.3938
2016-Q4,2.60455,102.8804
2017-Q1,1.324042,102.6084
2017-Q2,1.542832,103.3785
2017-Q3,1.287015,103.7116
2017-Q4,1.284572,104.202
2018-Q1,2.285752,104.9538
2018-Q2,2.125014,105.5753
2018-Q3,2.805419,106.6211
2018-Q4,3.034515,107.364
2019-Q1,3.023211,108.1267
2019-Q2,3.524146,109.2959
2019-Q3,3.141707,109.9709
2019-Q4,3.432699,111.0495
2020-Q1,0.170057,108.3106
2020-Q2,-15.69893,92.13763
2020-Q3,-8.242994,100.906
2020-Q4,-3.382472,107.2933
2021-Q1,2.035616,110.5154
2021-Q2,16.99583,107.7972
2021-Q3,12.92815,113.9513
