country,ISL,ISL
1983-Q1,-2.081205,41.25187
1983-Q2,-3.109204,40.95115
1983-Q3,-2.658712,40.99029
1983-Q4,-0.7384348,41.3969
1984-Q1,1.844815,42.01289
1984-Q2,4.16849,42.6582
1984-Q3,5.343745,43.18071
1984-Q4,5.163774,43.53455
1985-Q1,4.232172,43.79095
1985-Q2,3.234804,44.03811
1985-Q3,2.742372,44.36489
1985-Q4,2.989207,44.83588
1986-Q1,3.883001,45.49135
1986-Q2,5.26796,46.35802
1986-Q3,7.040207,47.48827
1986-Q4,8.825602,48.79292
1987-Q1,9.990466,50.03615
1987-Q2,10.0551,51.01936
1987-Q3,8.552483,51.54969
1987-Q4,5.758944,51.60288
1988-Q1,2.643405,51.35881
1988-Q2,0.03901716,51.03927
1988-Q3,-1.399779,50.82811
1988-Q4,-1.55846,50.79867
1989-Q1,-0.8941783,50.89957
1989-Q2,0.04065885,51.06002
1989-Q3,0.7798697,51.2245
1989-Q4,1.120848,51.36805
1990-Q1,1.184591,51.50252
1990-Q2,1.14824,51.64631
1990-Q3,1.153988,51.81563
1990-Q4,1.190631,51.97965
1991-Q1,1.076725,52.05706
1991-Q2,0.6463557,51.98013
1991-Q3,-0.2759664,51.67263
1991-Q4,-1.570614,51.16325
1992-Q1,-2.806978,50.59583
1992-Q2,-3.588763,50.11469
1992-Q3,-3.518446,49.85456
1992-Q4,-2.52395,49.87191
1993-Q1,-0.907475,50.13669
1993-Q2,0.9492433,50.5904
1993-Q3,2.704534,51.20289
1993-Q4,4.046309,51.88988
1994-Q1,4.741343,52.51384
1994-Q2,4.687856,52.962
1994-Q3,3.752437,53.12425
1994-Q4,2.192229,53.02743
1995-Q1,-2.055825,51.43425
1995-Q2,-0.2416739,52.83401
1995-Q3,-1.654469,52.24533
1995-Q4,-1.383878,52.29359
1996-Q1,6.354726,54.70275
1996-Q2,3.886749,54.88753
1996-Q3,2.889712,53.75507
1996-Q4,5.172166,54.99831
1997-Q1,4.979098,57.42646
1997-Q2,5.253926,57.77128
1997-Q3,6.130558,57.05055
1997-Q4,6.725338,58.69713
1998-Q1,-0.3529751,57.22375
1998-Q2,9.107924,63.03305
1998-Q3,10.06718,62.79393
1998-Q4,10.56539,64.89871
1999-Q1,13.13034,64.73743
1999-Q2,0.1422079,63.12268
1999-Q3,1.247166,63.57708
1999-Q4,2.493294,66.51683
2000-Q1,2.450193,66.32362
2000-Q2,6.166682,67.01526
2000-Q3,8.535522,69.00371
2000-Q4,2.937175,68.47054
2001-Q1,3.236197,68.46999
2001-Q2,5.703598,70.83754
2001-Q3,0.008066897,69.00928
2001-Q4,7.148867,73.36541
2002-Q1,0.2655222,68.65179
2002-Q2,0.9516385,71.51166
2002-Q3,2.598412,70.80242
2002-Q4,-1.462542,72.29241
2003-Q1,6.543381,73.14394
2003-Q2,-0.378647,71.24088
2003-Q3,0.654018,71.26549
2003-Q4,1.915707,73.67732
2004-Q1,4.301352,76.29012
2004-Q2,6.404075,75.8032
2004-Q3,11.42238,79.40569
2004-Q4,9.128708,80.40311
2005-Q1,1.997801,77.81424
2005-Q2,10.47975,83.74718
2005-Q3,5.776445,83.99252
2005-Q4,6.277517,85.45043
2006-Q1,9.185705,84.96202
2006-Q2,5.611978,88.44706
2006-Q3,5.697449,88.77795
2006-Q4,5.004577,89.72686
2007-Q1,7.446434,91.28867
2007-Q2,8.097603,95.60915
2007-Q3,7.315938,95.2729
2007-Q4,10.88877,99.49702
2008-Q1,6.073809,96.83337
2008-Q2,4.071273,99.50166
2008-Q3,-1.076497,94.24728
2008-Q4,0.02144332,99.51835
2009-Q1,-7.375695,89.69123
2009-Q2,-10.20513,89.34739
2009-Q3,-3.736742,90.72551
2009-Q4,-9.122327,90.43996
2010-Q1,-5.216354,85.01262
2010-Q2,-1.076424,88.38563
2010-Q3,-4.476266,86.66439
2010-Q4,-0.5553813,89.93768
2011-Q1,1.401979,86.20448
2011-Q2,0.2240821,88.58369
2011-Q3,4.059809,90.1828
2011-Q4,1.725538,91.48959
2012-Q1,2.625104,88.46744
2012-Q2,1.303316,89.73821
2012-Q3,0.1517681,90.31967
2012-Q4,0.2591476,91.72668
2013-Q1,4.36475,92.32882
2013-Q2,4.549941,93.82125
2013-Q3,3.628383,93.59681
2013-Q4,5.645868,96.90544
2014-Q1,1.924688,94.10586
2014-Q2,0.3612911,94.16022
2014-Q3,4.158679,97.4892
2014-Q4,0.3576003,97.25198
2015-Q1,1.518408,95.53477
2015-Q2,7.783196,101.4889
2015-Q3,3.263729,100.671
2015-Q4,5.196167,102.3054
2016-Q1,3.91238,99.27245
2016-Q2,4.643467,106.2015
2016-Q3,7.33825,108.0585
2016-Q4,9.165673,111.6823
2017-Q1,8.060298,107.2741
2017-Q2,4.575599,111.0608
2017-Q3,2.36812,110.6174
2017-Q4,2.16469,114.0999
2018-Q1,6.970986,114.7522
2018-Q2,5.309189,116.9573
2018-Q3,4.628944,115.7378
2018-Q4,2.773903,117.2649
2019-Q1,4.128624,119.4899
2019-Q2,1.745842,118.9992
2019-Q3,0.8145141,116.6805
2019-Q4,3.015785,120.8014
2020-Q1,-4.058877,114.6399
2020-Q2,-10.83166,106.1096
2020-Q3,-7.46953,107.9651
2020-Q4,-5.960508,113.601
2021-Q1,-2.938226,111.2715
2021-Q2,10.00245,116.7231
2021-Q3,6.970822,115.4911
2021-Q4,3.927251,118.0624
