country,IDN,IDN
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1990-Q1,,29.48697
1990-Q2,,30.2139
1990-Q3,,30.51757
1990-Q4,,30.92418
1991-Q1,8.616999,32.02786
1991-Q2,8.713169,32.84649
1991-Q3,9.073365,33.28654
1991-Q4,9.289915,33.79701
1992-Q1,6.67543,34.16586
1992-Q2,5.359245,34.60681
1992-Q3,7.572696,35.80723
1992-Q4,6.480098,35.98709
1993-Q1,7.354961,36.67875
1993-Q2,7.201841,37.09914
1993-Q3,7.08875,38.34552
1993-Q4,10.11257,39.62631
1994-Q1,9.023426,39.98842
1994-Q2,10.74373,41.08497
1994-Q3,7.104173,41.06965
1994-Q4,3.589123,41.04855
1995-Q1,8.16387,43.25303
1995-Q2,7.422225,44.13439
1995-Q3,7.880303,44.30606
1995-Q4,9.413615,44.9127
1996-Q1,5.589274,45.67056
1996-Q2,6.809182,47.13958
1996-Q3,8.387168,48.02209
1996-Q4,10.39419,49.58101
1997-Q1,7.204073,48.9607
1997-Q2,5.223161,49.60176
1997-Q3,5.222107,50.52985
1997-Q4,1.389964,50.27017
1998-Q1,-4.879445,46.57169
1998-Q2,-13.46892,42.92094
1998-Q3,-16.00472,42.44269
1998-Q4,-17.92876,41.25735
1999-Q1,-6.407874,43.58743
1999-Q2,1.497007,43.56347
1999-Q3,2.921313,43.68258
1999-Q4,5.991807,43.72941
2000-Q1,3.483446,45.10578
2000-Q2,2.945097,44.84645
2000-Q3,5.165718,45.93909
2000-Q4,8.074009,47.26013
2001-Q1,4.029584,46.92335
2001-Q2,5.701399,47.40333
2001-Q3,3.208736,47.41316
2001-Q4,1.744699,48.08467
2002-Q1,3.724201,48.67087
2002-Q2,3.993755,49.2965
2002-Q3,5.306708,49.92924
2002-Q4,4.95862,50.46901
2003-Q1,5.047812,51.12769
2003-Q2,4.890617,51.70741
2003-Q3,4.646273,52.24909
2003-Q4,4.54743,52.76405
2004-Q1,4.41314,53.38402
2004-Q2,4.477196,54.02245
2004-Q3,4.65218,54.67981
2004-Q4,6.547038,56.21854
2005-Q1,6.163743,56.67448
2005-Q2,6.110556,57.32352
2005-Q3,5.990071,57.95517
2005-Q4,4.554142,58.77881
2006-Q1,5.083287,59.5554
2006-Q2,5.219989,60.3158
2006-Q3,5.750755,61.28803
2006-Q4,5.931368,62.26519
2007-Q1,6.250393,63.27785
2007-Q2,6.659454,64.3325
2007-Q3,6.622368,65.34675
2007-Q4,5.857953,65.91266
2008-Q1,6.496392,67.38863
2008-Q2,6.279767,68.37244
2008-Q3,6.020105,69.28069
2008-Q4,5.284274,69.39567
2009-Q1,4.376272,70.33774
2009-Q2,4.199223,71.24355
2009-Q3,4.424829,72.34624
2009-Q4,5.789467,73.41331
2010-Q1,6.066225,74.60458
2010-Q2,6.464775,75.84928
2010-Q3,6.419968,76.99084
2010-Q4,6.549681,78.22164
2011-Q1,6.372473,79.35874
2011-Q2,6.146592,80.51143
2011-Q3,6.157078,81.73123
2011-Q4,6.011463,82.9239
2012-Q1,6.067518,84.17384
2012-Q2,6.111974,85.43227
2012-Q3,6.006953,86.64079
2012-Q4,5.93742,87.84745
2013-Q1,5.812198,89.06619
2013-Q2,5.590319,90.2082
2013-Q3,5.481167,91.38972
2013-Q4,5.355896,92.55247
2014-Q1,5.147409,93.65079
2014-Q2,5.104069,94.81248
2014-Q3,4.955413,95.91846
2014-Q4,4.826907,97.01989
2015-Q1,4.869191,98.21083
2015-Q2,4.78773,99.35185
2015-Q3,4.857089,100.5773
2015-Q4,4.988798,101.86
2016-Q1,4.964777,103.0868
2016-Q2,5.075862,104.3948
2016-Q3,5.077537,105.6842
2016-Q4,5.013268,106.9665
2017-Q1,5.069544,108.3128
2017-Q2,5.041708,109.6581
2017-Q3,5.055233,111.0267
2017-Q4,5.111801,112.4344
2018-Q1,5.119997,113.8584
2018-Q2,5.142807,115.2976
2018-Q3,5.203915,116.8045
2018-Q4,5.22805,118.3126
2019-Q1,5.235222,119.8192
2019-Q2,5.20977,121.3043
2019-Q3,4.997077,122.6413
2019-Q4,4.643355,123.8062
2020-Q1,2.918038,123.3155
2020-Q2,-5.120711,115.0927
2020-Q3,-3.488499,118.3629
2020-Q4,-2.501392,120.7094
2021-Q1,-0.8007938,122.328
2021-Q2,7.269805,123.4597
2021-Q3,3.713578,122.7584
