country,AUT,AUT,AUT
subject,BSCI,BSCURT,BSOITE
measure,BLSA,BLSA,BLSA
unit,,,
powercode,Units,Units,Units
reference_period,,,
time,,,
1985-Q1,-5.233333,,
1985-Q2,-5.6,,
1985-Q3,-7.366667,,
1985-Q4,-5.8,,
1986-Q1,-5.833333,,
1986-Q2,-6.733333,,
1986-Q3,-7.7,,
1986-Q4,-10.9,,
1987-Q1,-10.8,,
1987-Q2,-11.93333,,
1987-Q3,-8.533334,,
1987-Q4,-5.466667,,
1988-Q1,-3.266667,,
1988-Q2,1.5,,
1988-Q3,4.733333,,
1988-Q4,8.633333,,
1989-Q1,9.566667,,
1989-Q2,13.1,,
1989-Q3,13.36667,,
1989-Q4,13.8,,
1990-Q1,13.96667,,
1990-Q2,13.03333,,
1990-Q3,10.9,,
1990-Q4,5.433333,,
1991-Q1,4.0,,
1991-Q2,-0.2,,
1991-Q3,-4.833333,,
1991-Q4,-8.8,,
1992-Q1,-8.466666,,
1992-Q2,-8.766666,,
1992-Q3,-9.266666,,
1992-Q4,-17.06667,,
1993-Q1,-21.2,,
1993-Q2,-22.8,,
1993-Q3,-21.23333,,
1993-Q4,-15.46667,,
1994-Q1,-6.866667,,
1994-Q2,0.2333333,,
1994-Q3,4.3,,
1994-Q4,8.6,,
1995-Q1,7.766667,,
1995-Q2,-1.033333,,
1995-Q3,-10.26667,,
1995-Q4,-15.1,,
1996-Q1,-19.26667,84.8,-23.8
1996-Q2,-23.26667,83.7,-27.2
1996-Q3,-17.8,83.6,-12.5
1996-Q4,-14.73333,84.1,-3.0
1997-Q1,-9.9,83.9,0.8
1997-Q2,-4.066667,85.1,8.6
1997-Q3,-0.1666667,86.1,12.8
1997-Q4,1.4,86.5,17.4
1998-Q1,3.133333,87.1,13.9
1998-Q2,5.3,87.8,19.4
1998-Q3,-1.1,88.0,7.2
1998-Q4,-10.0,86.6,-2.8
1999-Q1,-11.93333,85.5,-6.6
1999-Q2,-15.93333,84.8,-8.5
1999-Q3,-5.933333,83.8,2.3
1999-Q4,-1.833333,85.9,12.4
2000-Q1,5.466667,87.0,17.4
2000-Q2,10.2,88.0,30.3
2000-Q3,9.2,88.9,24.1
2000-Q4,11.33333,88.9,18.6
2001-Q1,6.966667,88.5,17.2
2001-Q2,-3.666667,87.2,4.1
2001-Q3,-11.7,86.4,-10.2
2001-Q4,-15.63333,84.2,-19.4
2002-Q1,-16.13333,84.4,-19.3
2002-Q2,-12.9,84.7,-8.8
2002-Q3,-14.3,84.8,-0.4
2002-Q4,-11.56667,83.8,0.8
2003-Q1,-9.2,85.2,2.8
2003-Q2,-10.13333,86.1,-0.3
2003-Q3,-6.6,85.4,-0.7
2003-Q4,-2.7,86.3,10.8
2004-Q1,-3.366667,85.4,16.1
2004-Q2,3.066667,85.7,15.3
2004-Q3,2.4,86.9,15.0
2004-Q4,2.033333,87.2,19.2
2005-Q1,-2.933333,87.2,12.9
2005-Q2,-4.866667,86.0,2.3
2005-Q3,-5.9,85.0,6.8
2005-Q4,-4.8,85.5,12.0
2006-Q1,0.8333333,85.9,18.1
2006-Q2,5.633333,87.0,28.1
2006-Q3,10.36667,88.3,32.5
2006-Q4,11.63333,88.7,27.2
2007-Q1,12.66667,88.3,34.0
2007-Q2,11.9,88.7,28.5
2007-Q3,9.433333,88.3,23.8
2007-Q4,6.566667,88.4,16.7
2008-Q1,1.833333,87.5,14.2
2008-Q2,-0.6666667,87.7,10.9
2008-Q3,-6.9,86.2,1.5
2008-Q4,-22.26667,85.1,-11.2
2009-Q1,-33.56667,80.2,-35.6
2009-Q2,-34.26667,75.9,-38.3
2009-Q3,-26.76667,75.9,-25.2
2009-Q4,-19.93333,77.7,0.2
2010-Q1,-13.4,78.7,5.8
2010-Q2,-5.833333,82.0,26.4
2010-Q3,-3.933333,83.2,31.6
2010-Q4,0.9333333,83.7,27.0
2011-Q1,5.066667,84.6,37.0
2011-Q2,1.633333,86.3,40.2
2011-Q3,-4.866667,85.8,19.2
2011-Q4,-8.533334,85.0,2.6
2012-Q1,-3.633333,85.1,8.5
2012-Q2,-5.966667,84.7,11.2
2012-Q3,-10.13333,84.9,-0.6
2012-Q4,-13.23333,83.6,-10.3
2013-Q1,-9.1,84.9,-6.5
2013-Q2,-12.06667,83.5,-6.2
2013-Q3,-8.333333,83.5,-1.3
2013-Q4,-4.1,82.6,7.6
2014-Q1,-3.833333,84.1,11.0
2014-Q2,-3.466667,85.1,9.8
2014-Q3,-6.433333,84.2,4.2
2014-Q4,-6.866667,83.7,-1.1
2015-Q1,-9.266666,84.1,1.6
2015-Q2,-8.533334,84.2,4.9
2015-Q3,-5.566667,84.4,11.5
2015-Q4,-4.5,83.4,11.3
2016-Q1,-7.766667,85.0,14.1
2016-Q2,-7.766667,84.0,-1.3
2016-Q3,-5.3,83.2,7.4
2016-Q4,-1.2,85.1,13.9
2017-Q1,1.566667,85.1,22.4
2017-Q2,3.0,86.6,30.1
2017-Q3,6.133333,86.9,29.4
2017-Q4,11.4,88.0,32.9
2018-Q1,11.63333,88.8,33.0
2018-Q2,10.6,88.7,23.7
2018-Q3,7.433333,88.7,18.8
2018-Q4,4.766667,88.5,14.5
2019-Q1,-2.433333,87.0,9.9
