country,DEU,DEU
1983-Q4,80.1,8.066667
1984-Q1,81.6,10.63333
1984-Q2,77.1,-5.133333
1984-Q3,80.8,1.966667
1984-Q4,82.1,-0.2666667
1985-Q1,82.4,-10.8
1985-Q2,82.7,-4.6
1985-Q3,84.7,2.7
1985-Q4,84.5,7.4
1986-Q1,85.1,0.2
1986-Q2,84.1,-12.4
1986-Q3,85.3,12.9
1986-Q4,84.9,3.6
1987-Q1,84.3,-1.9
1987-Q2,83.3,-1.1
1987-Q3,84.4,2.5
1987-Q4,84.1,5.8
1988-Q1,84.6,3.4
1988-Q2,84.7,10.8
1988-Q3,85.8,17.0
1988-Q4,87.0,12.6
1989-Q1,88.2,17.2
1989-Q2,88.2,11.9
1989-Q3,88.9,13.3
1989-Q4,89.1,5.2
1990-Q1,89.3,8.1
1990-Q2,89.9,11.3
1990-Q3,89.5,6.0
1990-Q4,90.0,6.8
1991-Q1,88.9,0.4
1991-Q2,88.6,-16.4
1991-Q3,86.8,-8.9
1991-Q4,85.2,-20.5
1992-Q1,85.6,-0.7
1992-Q2,81.4,-21.9
1992-Q3,79.9,-25.9
1992-Q4,76.7,-35.4
1993-Q1,75.6,-20.4
1993-Q2,76.1,-23.9
1993-Q3,76.0,-15.2
1993-Q4,76.4,-15.2
1994-Q1,78.1,2.8
1994-Q2,80.6,5.2
1994-Q3,82.4,10.5
1994-Q4,83.7,13.0
1995-Q1,84.4,7.9
1995-Q2,85.4,-7.3
1995-Q3,84.4,-11.2
1995-Q4,83.9,-14.7
1996-Q1,82.0,-20.4
1996-Q2,81.6,-15.4
1996-Q3,81.6,-9.8
1996-Q4,81.6,-10.2
1997-Q1,83.0,-1.8
1997-Q2,83.6,1.6
1997-Q3,84.4,5.2
1997-Q4,85.0,2.3
1998-Q1,85.6,6.3
1998-Q2,86.2,0.6
1998-Q3,85.9,-7.9
1998-Q4,84.7,-11.5
1999-Q1,84.1,-12.4
1999-Q2,83.6,-6.4
1999-Q3,84.0,-3.5
1999-Q4,84.6,1.3
2000-Q1,85.7,7.1
2000-Q2,86.2,2.5
2000-Q3,86.9,4.3
2000-Q4,87.8,0.1
2001-Q1,88.0,-7.0
2001-Q2,85.3,-14.9
2001-Q3,84.3,-26.8
2001-Q4,82.4,-22.5
2002-Q1,81.5,-19.2
2002-Q2,81.9,-7.8
2002-Q3,82.4,-9.6
2002-Q4,83.3,-8.2
2003-Q1,82.1,-12.6
2003-Q2,82.9,-12.6
2003-Q3,82.1,-10.6
2003-Q4,83.7,3.1
2004-Q1,83.2,0.9
2004-Q2,83.9,1.8
2004-Q3,84.4,4.1
2004-Q4,84.3,5.0
2005-Q1,84.0,-8.9
2005-Q2,83.6,-8.1
2005-Q3,83.9,-0.2
2005-Q4,84.4,3.8
2006-Q1,84.7,8.6
2006-Q2,86.3,19.6
2006-Q3,87.3,14.1
2006-Q4,87.9,19.4
2007-Q1,88.1,13.8
2007-Q2,88.8,17.0
2007-Q3,88.4,8.6
2007-Q4,88.4,2.9
2008-Q1,88.6,6.5
2008-Q2,87.9,-6.2
2008-Q3,86.4,-21.8
2008-Q4,84.8,-53.1
2009-Q1,76.5,-53.6
2009-Q2,70.7,-33.3
2009-Q3,69.7,-8.0
2009-Q4,70.8,7.2
2010-Q1,73.9,18.6
2010-Q2,79.0,22.4
2010-Q3,81.9,23.4
2010-Q4,82.9,28.1
2011-Q1,85.7,28.6
2011-Q2,86.9,14.0
2011-Q3,86.9,-4.0
2011-Q4,85.3,-3.0
2012-Q1,85.6,-5.5
2012-Q2,85.5,-13.9
2012-Q3,83.0,-22.6
2012-Q4,82.1,-10.2
2013-Q1,82.7,-9.8
2013-Q2,82.2,-3.3
2013-Q3,82.5,3.9
2013-Q4,82.3,8.4
2014-Q1,84.4,10.9
2014-Q2,84.0,1.0
2014-Q3,84.3,-3.4
2014-Q4,84.5,-5.2
2015-Q1,84.6,-2.3
2015-Q2,84.1,-3.9
2015-Q3,84.2,-0.7
2015-Q4,84.2,-0.5
2016-Q1,84.6,-5.2
2016-Q2,84.1,1.8
2016-Q3,84.5,3.7
2016-Q4,85.3,9.6
2017-Q1,85.5,9.5
2017-Q2,86.1,17.2
2017-Q3,86.9,20.1
2017-Q4,87.7,22.8
2018-Q1,88.2,15.1
2018-Q2,87.8,15.2
2018-Q3,87.8,12.1
2018-Q4,87.1,-8.5
2019-Q1,86.3,-14.0
2019-Q2,85.3,-5.1
2019-Q3,83.9,-19.4
2019-Q4,82.6,-4.6
2020-Q1,82.9,-7.6
2020-Q2,71.4,-42.3
2020-Q3,74.4,22.5
2020-Q4,79.1,32.0
2021-Q1,80.4,15.8
2021-Q2,86.7,48.9
2021-Q3,87.0,31.9
2021-Q4,85.1,13.8
2022-Q1,85.5,10.1
