country,ESP,ESP
1995-Q3,78.2,4.4
1995-Q4,78.0,7.9
1996-Q1,76.3,7.2
1996-Q2,77.8,0.5
1996-Q3,77.2,12.1
1996-Q4,76.2,11.2
1997-Q1,77.4,8.5
1997-Q2,80.4,11.2
1997-Q3,80.4,14.2
1997-Q4,80.5,9.0
1998-Q1,81.0,9.7
1998-Q2,82.0,5.5
1998-Q3,81.2,9.4
1998-Q4,81.5,6.3
1999-Q1,80.4,9.5
1999-Q2,79.8,7.6
1999-Q3,79.7,5.5
1999-Q4,81.4,3.9
2000-Q1,80.2,10.5
2000-Q2,80.9,10.7
2000-Q3,80.9,7.2
2000-Q4,80.6,11.3
2001-Q1,79.7,4.4
2001-Q2,80.6,7.3
2001-Q3,79.0,1.9
2001-Q4,77.7,-2.6
2002-Q1,78.3,-3.9
2002-Q2,76.6,11.2
2002-Q3,79.0,6.0
2002-Q4,80.2,9.1
2003-Q1,79.1,8.0
2003-Q2,77.5,13.0
2003-Q3,79.6,7.2
2003-Q4,79.9,11.6
2004-Q1,79.7,7.9
2004-Q2,79.5,13.4
2004-Q3,80.0,8.9
2004-Q4,79.6,6.5
2005-Q1,80.2,5.4
2005-Q2,80.0,13.6
2005-Q3,80.6,13.9
2005-Q4,80.2,7.5
2006-Q1,80.6,6.0
2006-Q2,81.4,9.6
2006-Q3,79.8,10.0
2006-Q4,81.0,11.8
2007-Q1,81.5,11.5
2007-Q2,82.0,8.7
2007-Q3,82.0,8.2
2007-Q4,80.5,6.5
2008-Q1,81.2,9.4
2008-Q2,80.4,0.1
2008-Q3,79.4,-7.7
2008-Q4,76.8,-19.0
2009-Q1,73.3,-20.6
2009-Q2,70.0,-15.5
2009-Q3,67.9,-5.5
2009-Q4,68.8,-1.2
2010-Q1,68.4,7.6
2010-Q2,70.9,6.6
2010-Q3,72.6,5.7
2010-Q4,72.5,1.8
2011-Q1,73.5,2.0
2011-Q2,74.7,1.0
2011-Q3,72.6,-3.6
2011-Q4,72.2,-3.5
2012-Q1,72.5,-0.8
2012-Q2,72.7,-9.4
2012-Q3,70.7,-9.3
2012-Q4,72.5,-4.3
2013-Q1,68.7,-5.3
2013-Q2,74.6,-3.7
2013-Q3,76.2,-0.1
2013-Q4,73.5,1.6
2014-Q1,77.0,1.3
2014-Q2,74.1,1.4
2014-Q3,75.3,3.6
2014-Q4,76.9,16.8
2015-Q1,78.1,10.7
2015-Q2,77.2,11.8
2015-Q3,77.6,4.3
2015-Q4,78.1,3.7
2016-Q1,79.0,5.9
2016-Q2,77.8,8.0
2016-Q3,78.4,7.0
2016-Q4,79.1,12.1
2017-Q1,78.8,11.7
2017-Q2,78.1,7.2
2017-Q3,78.7,4.3
2017-Q4,79.1,1.8
2018-Q1,79.7,11.8
2018-Q2,80.3,11.2
2018-Q3,79.3,6.2
2018-Q4,78.6,14.0
2019-Q1,80.8,-6.3
2019-Q2,80.4,-5.1
2019-Q3,80.8,9.3
2019-Q4,79.3,-7.4
2020-Q1,80.0,-4.9
2020-Q2,70.9,-29.1
2020-Q3,71.5,-21.7
2020-Q4,74.8,-9.0
2021-Q1,75.7,-4.1
2021-Q2,78.1,9.5
2021-Q3,77.6,18.3
2021-Q4,78.9,13.6
2022-Q1,78.0,9.9
